Purchase{id=25, person=Person{firstName='Wallace', lastName='Oury', email='wouryo@woothemes.com', ipAddress='90.88.188.67'}, car=Car{color='#66184f', carVin='4T1BD1EB7FU026332', carCompany='Acura', carModel='RDX', carModelYear='2008', carPrice=64467.57}, location=Location{country='Denmark', city='Frederiksberg'}, date=2020-11-30}
Purchase{id=54, person=Person{firstName='Grant', lastName='Syrett', email='gsyrett1h@prlog.org', ipAddress='119.89.29.184'}, car=Car{color='#8c163c', carVin='WBADX1C5XCE850586', carCompany='Acura', carModel='RL', carModelYear='2009', carPrice=87273.74}, location=Location{country='Poland', city='Czerniewice'}, date=2020-12-16}
Purchase{id=247, person=Person{firstName='Caresse', lastName='Bussens', email='cbussens6u@dion.ne.jp', ipAddress='219.63.220.114'}, car=Car{color='#095ecf', carVin='YV1940AS0B1810215', carCompany='Acura', carModel='TL', carModelYear='2009', carPrice=36695.79}, location=Location{country='Czech Republic', city='Všenory'}, date=2020-02-26}
Purchase{id=424, person=Person{firstName='Sunny', lastName='Wherry', email='swherrybr@apache.org', ipAddress='65.86.131.188'}, car=Car{color='#f4309a', carVin='1N6AF0LX4FN314352', carCompany='Acura', carModel='NSX', carModelYear='1997', carPrice=82460.18}, location=Location{country='Poland', city='Stoczek Łukowski'}, date=2020-08-11}
Purchase{id=450, person=Person{firstName='Eldin', lastName='Esparza', email='eesparzach@cdc.gov', ipAddress='203.168.41.225'}, car=Car{color='#8054b1', carVin='JH4KA96652C469297', carCompany='Acura', carModel='TL', carModelYear='2006', carPrice=40421.13}, location=Location{country='Czech Republic', city='Jeseník'}, date=2020-11-25}
Purchase{id=476, person=Person{firstName='Marlin', lastName='Pulford', email='mpulfordd7@google.es', ipAddress='134.148.216.100'}, car=Car{color='#515fe2', carVin='1D7RB1GKXAS094771', carCompany='Acura', carModel='TL', carModelYear='2005', carPrice=97537.19}, location=Location{country='Poland', city='Izbicko'}, date=2020-01-06}
Purchase{id=490, person=Person{firstName='Udale', lastName='Antyukhin', email='uantyukhindl@t.co', ipAddress='145.62.60.95'}, car=Car{color='#62a077', carVin='1G6KS54Y64U621972', carCompany='Acura', carModel='NSX', carModelYear='2002', carPrice=41234.76}, location=Location{country='Czech Republic', city='Chlumčany'}, date=2020-03-28}
Purchase{id=622, person=Person{firstName='Olive', lastName='Idell', email='oidellh9@ihg.com', ipAddress='10.117.140.204'}, car=Car{color='#62ca37', carVin='KNAFU6A29C5266574', carCompany='Acura', carModel='RL', carModelYear='2010', carPrice=19924.03}, location=Location{country='Poland', city='Sadowie'}, date=2020-11-10}
Purchase{id=759, person=Person{firstName='Fina', lastName='Potebury', email='fpoteburyl2@eepurl.com', ipAddress='24.163.163.111'}, car=Car{color='#48ac4f', carVin='3GYFNAE37ES595203', carCompany='Acura', carModel='Integra', carModelYear='1996', carPrice=24435.25}, location=Location{country='Germany', city='Osnabrück'}, date=2020-04-18}
Purchase{id=862, person=Person{firstName='Neile', lastName='Dutson', email='ndutsonnx@miibeian.gov.cn', ipAddress='177.91.129.60'}, car=Car{color='#193f69', carVin='1G4HC5EMXAU370347', carCompany='Acura', carModel='ZDX', carModelYear='2010', carPrice=74967.68}, location=Location{country='Poland', city='Śniadowo'}, date=2020-05-07}
Purchase{id=957, person=Person{firstName='Xylina', lastName='Rawlings', email='xrawlingsqk@prweb.com', ipAddress='242.229.116.229'}, car=Car{color='#f8c55b', carVin='SCBBP93WX9C557182', carCompany='Acura', carModel='CL', carModelYear='2003', carPrice=82961.35}, location=Location{country='Germany', city='Bochum'}, date=2020-04-24}
