Purchase{id=4, person=Person{firstName='Bobinette', lastName='Silversmid', email='bsilversmid3@va.gov', ipAddress='235.128.129.91'}, car=Car{color='#430bbb', carVin='3C4PDDDG8ET165757', carCompany='Audi', carModel='A6', carModelYear='2002', carPrice=14233.71}, location=Location{country='Poland', city='Parchowo'}, date=2020-02-04}
Purchase{id=110, person=Person{firstName='Gwenny', lastName='Arnowitz', email='garnowitz31@comsenz.com', ipAddress='94.93.89.128'}, car=Car{color='#71b30f', carVin='4USBT53474L369108', carCompany='Audi', carModel='A8', carModelYear='2000', carPrice=68877.19}, location=Location{country='Poland', city='Rokitno'}, date=2020-05-25}
Purchase{id=129, person=Person{firstName='Bink', lastName='Duff', email='bduff3k@vkontakte.ru', ipAddress='105.202.162.56'}, car=Car{color='#63bd24', carVin='19VDE3F33EE165652', carCompany='Audi', carModel='A3', carModelYear='2008', carPrice=2217.07}, location=Location{country='Denmark', city='Frederiksberg'}, date=2020-07-25}
Purchase{id=152, person=Person{firstName='Bink', lastName='Ballintime', email='bballintime47@hexun.com', ipAddress='109.195.112.171'}, car=Car{color='#24f8ea', carVin='3D7TT2CT2BG762448', carCompany='Audi', carModel='A3', carModelYear='2008', carPrice=59198.28}, location=Location{country='Czech Republic', city='Police nad Metují'}, date=2020-12-05}
Purchase{id=166, person=Person{firstName='Moina', lastName='Fernando', email='mfernando4l@exblog.jp', ipAddress='189.173.118.23'}, car=Car{color='#dd40f8', carVin='YV1672MC1BJ123741', carCompany='Audi', carModel='Coupe GT', carModelYear='1987', carPrice=19044.06}, location=Location{country='Czech Republic', city='Dobšice'}, date=2020-03-14}
Purchase{id=192, person=Person{firstName='Stavro', lastName='Alp', email='salp5b@wikipedia.org', ipAddress='180.207.149.255'}, car=Car{color='#4fed1c', carVin='WAURD68DX1A800710', carCompany='Audi', carModel='A8', carModelYear='2002', carPrice=14945.66}, location=Location{country='Germany', city='Hamburg'}, date=2020-10-19}
Purchase{id=386, person=Person{firstName='Sonnnie', lastName='Deschelle', email='sdeschelleap@barnesandnoble.com', ipAddress='178.219.85.28'}, car=Car{color='#35f448', carVin='1G6DE5EG8A0896249', carCompany='Audi', carModel='A8', carModelYear='2008', carPrice=4086.85}, location=Location{country='Czech Republic', city='Ledenice'}, date=2020-09-10}
Purchase{id=406, person=Person{firstName='Chevy', lastName='Hoffmann', email='choffmannb9@prlog.org', ipAddress='80.183.204.164'}, car=Car{color='#9e7cfa', carVin='JN1CV6AP3FM036248', carCompany='Audi', carModel='Q7', carModelYear='2010', carPrice=4808.26}, location=Location{country='Poland', city='Uniejów'}, date=2020-12-04}
Purchase{id=433, person=Person{firstName='Daune', lastName='Cabera', email='dcaberac0@mozilla.com', ipAddress='116.216.207.221'}, car=Car{color='#1ae811', carVin='3D7TP2CT0AG441088', carCompany='Audi', carModel='S4', carModelYear='2013', carPrice=92793.05}, location=Location{country='Poland', city='Sarnaki'}, date=2020-05-03}
Purchase{id=448, person=Person{firstName='Karin', lastName='Frankiss', email='kfrankisscf@amazon.de', ipAddress='80.122.120.34'}, car=Car{color='#59cac7', carVin='WBA3A5C5XFF165636', carCompany='Audi', carModel='A3', carModelYear='2012', carPrice=3754.60}, location=Location{country='Poland', city='Radom'}, date=2020-11-01}
Purchase{id=449, person=Person{firstName='Trev', lastName='Aldus', email='talduscg@joomla.org', ipAddress='192.58.166.48'}, car=Car{color='#0ffe15', carVin='WBAPM5C50BE047457', carCompany='Audi', carModel='A3', carModelYear='2006', carPrice=52107.28}, location=Location{country='Poland', city='Stoczek'}, date=2020-12-29}
