Purchase{id=26, person=Person{firstName='Vitia', lastName='Wressell', email='vwressellp@joomla.org', ipAddress='83.75.76.69'}, car=Car{color='#fc52a8', carVin='5N1AA0NE0EN847693', carCompany='BMW', carModel='Z4', carModelYear='2010', carPrice=30372.27}, location=Location{country='Czech Republic', city='Břeclav'}, date=2020-01-07}
Purchase{id=53, person=Person{firstName='Ronica', lastName='Kirtland', email='rkirtland1g@smh.com.au', ipAddress='85.255.41.175'}, car=Car{color='#362699', carVin='WA1WMAFE7DD223278', carCompany='BMW', carModel='1 Series', carModelYear='2010', carPrice=59998.39}, location=Location{country='Poland', city='Pilchowice'}, date=2020-06-26}
Purchase{id=55, person=Person{firstName='Carly', lastName='Vasnetsov', email='cvasnetsov1i@freewebs.com', ipAddress='103.247.181.255'}, car=Car{color='#67ddc5', carVin='WAUSF98E38A270340', carCompany='BMW', carModel='5 Series', carModelYear='2000', carPrice=64328.89}, location=Location{country='Germany', city='Hamburg Sankt Pauli'}, date=2020-03-26}
Purchase{id=75, person=Person{firstName='Harland', lastName='Cobello', email='hcobello22@ted.com', ipAddress='240.61.35.39'}, car=Car{color='#acf056', carVin='YV440MBK4F1358967', carCompany='BMW', carModel='X5', carModelYear='2000', carPrice=48845.79}, location=Location{country='Poland', city='Rokitno'}, date=2020-03-09}
Purchase{id=79, person=Person{firstName='Krystyna', lastName='Ricardet', email='kricardet26@t.co', ipAddress='39.45.161.206'}, car=Car{color='#9ba311', carVin='3D7LT2ET7AG992093', carCompany='BMW', carModel='5 Series', carModelYear='1997', carPrice=28961.60}, location=Location{country='Czech Republic', city='Chrást'}, date=2020-05-06}
Purchase{id=86, person=Person{firstName='Deane', lastName='Kmieciak', email='dkmieciak2d@purevolume.com', ipAddress='84.176.85.159'}, car=Car{color='#f955cc', carVin='WBAVB33576K499107', carCompany='BMW', carModel='600', carModelYear='1957', carPrice=72427.80}, location=Location{country='Poland', city='Szczerbice'}, date=2020-01-19}
Purchase{id=97, person=Person{firstName='Hi', lastName='Yeomans', email='hyeomans2o@themeforest.net', ipAddress='37.150.104.58'}, car=Car{color='#9413c9', carVin='2C3CA7CW5AH234588', carCompany='BMW', carModel='8 Series', carModelYear='1992', carPrice=36491.19}, location=Location{country='Czech Republic', city='Pyšely'}, date=2020-12-05}
Purchase{id=99, person=Person{firstName='Berny', lastName='Rumsby', email='brumsby2q@pen.io', ipAddress='63.72.144.27'}, car=Car{color='#2eb791', carVin='WAUNF78P58A259925', carCompany='BMW', carModel='7 Series', carModelYear='1995', carPrice=91829.08}, location=Location{country='Poland', city='Pruszcz'}, date=2020-03-13}
Purchase{id=117, person=Person{firstName='Trever', lastName='Coulbeck', email='tcoulbeck38@toplist.cz', ipAddress='165.177.248.84'}, car=Car{color='#cc6e4c', carVin='JTDBT4K3XC1339796', carCompany='BMW', carModel='7 Series', carModelYear='2009', carPrice=49082.37}, location=Location{country='Czech Republic', city='Holice'}, date=2020-11-23}
Purchase{id=150, person=Person{firstName='Glendon', lastName='Rennolds', email='grennolds45@spotify.com', ipAddress='185.126.21.252'}, car=Car{color='#266be8', carVin='WA1MKAFP7AA935589', carCompany='BMW', carModel='M3', carModelYear='2012', carPrice=42175.04}, location=Location{country='Germany', city='Neuss'}, date=2020-01-08}
Purchase{id=161, person=Person{firstName='Keely', lastName='Simes', email='ksimes4g@tamu.edu', ipAddress='48.24.70.65'}, car=Car{color='#0f0ab0', carVin='1C3BC6EV8AN404051', carCompany='BMW', carModel='6 Series', carModelYear='1989', carPrice=96220.95}, location=Location{country='Poland', city='Mrzeżyno'}, date=2020-01-19}
Purchase{id=195, person=Person{firstName='Perla', lastName='Bushell', email='pbushell5e@youku.com', ipAddress='140.253.218.198'}, car=Car{color='#e431b1', carVin='5J8TB3H51EL197244', carCompany='BMW', carModel='545', carModelYear='2004', carPrice=62614.35}, location=Location{country='Poland', city='Barwałd Górny'}, date=2020-12-24}
Purchase{id=214, person=Person{firstName='Fionna', lastName='Abramow', email='fabramow5x@wordpress.org', ipAddress='251.56.24.25'}, car=Car{color='#0cdd9a', carVin='1FTFW1E8XAF166518', carCompany='BMW', carModel='X5', carModelYear='2001', carPrice=35279.81}, location=Location{country='Poland', city='Drawsko'}, date=2020-03-29}
Purchase{id=238, person=Person{firstName='Elita', lastName='Faill', email='efaill6l@cornell.edu', ipAddress='141.223.153.71'}, car=Car{color='#b9b455', carVin='3GYVKLEF8AG976355', carCompany='BMW', carModel='3 Series', carModelYear='2005', carPrice=11549.17}, location=Location{country='Poland', city='Gózd'}, date=2020-03-08}
Purchase{id=245, person=Person{firstName='Monro', lastName='Hatfield', email='mhatfield6s@biblegateway.com', ipAddress='19.20.233.136'}, car=Car{color='#8bf31a', carVin='WAUR4AFD2CN824808', carCompany='BMW', carModel='Z4', carModelYear='2010', carPrice=91014.28}, location=Location{country='Poland', city='Przasnysz'}, date=2020-04-20}
Purchase{id=269, person=Person{firstName='Cristie', lastName='Jurasek', email='cjurasek7g@google.pl', ipAddress='126.13.177.139'}, car=Car{color='#2456cc', carVin='YV1902AH6E1788396', carCompany='BMW', carModel='3 Series', carModelYear='1994', carPrice=38870.04}, location=Location{country='Poland', city='Zagórów'}, date=2020-08-09}
Purchase{id=295, person=Person{firstName='Ollie', lastName='Burgisi', email='oburgisi86@va.gov', ipAddress='1.107.118.200'}, car=Car{color='#e9cd43', carVin='WAUCFAFR3FA678619', carCompany='BMW', carModel='Alpina B7', carModelYear='2007', carPrice=75764.70}, location=Location{country='Poland', city='Kleszczewo'}, date=2020-10-05}
Purchase{id=343, person=Person{firstName='Doria', lastName='De Angelo', email='ddeangelo9i@imageshack.us', ipAddress='188.150.129.226'}, car=Car{color='#0fbe26', carVin='SCFHDDAJ5CA177035', carCompany='BMW', carModel='X5', carModelYear='2001', carPrice=38978.71}, location=Location{country='Germany', city='Frankfurt am Main'}, date=2020-04-06}
