Purchase{id=68, person=Person{firstName='Orsa', lastName='Wilfling', email='owilfling1v@diigo.com', ipAddress='53.136.57.107'}, car=Car{color='#0a2fad', carVin='1D4RD4GG5BC716516', carCompany='Buick', carModel='LeSabre', carModelYear='1985', carPrice=7542.19}, location=Location{country='Czech Republic', city='Orlová'}, date=2020-05-15}
Purchase{id=91, person=Person{firstName='Charissa', lastName='Berr', email='cberr2i@foxnews.com', ipAddress='138.86.215.72'}, car=Car{color='#23aea8', carVin='2G4WF551241593499', carCompany='Buick', carModel='Regal', carModelYear='1986', carPrice=82619.40}, location=Location{country='Czech Republic', city='Nýřany'}, date=2020-12-11}
Purchase{id=138, person=Person{firstName='Gerhardt', lastName='Yeardsley', email='gyeardsley3t@slideshare.net', ipAddress='120.48.41.18'}, car=Car{color='#da4934', carVin='WAUDT48H84K166588', carCompany='Buick', carModel='Coachbuilder', carModelYear='1992', carPrice=56616.47}, location=Location{country='Czech Republic', city='Bechyně'}, date=2020-07-04}
Purchase{id=140, person=Person{firstName='Daniele', lastName='Knapton', email='dknapton3v@diigo.com', ipAddress='22.71.189.41'}, car=Car{color='#bb37ce', carVin='1GYFK66858R431973', carCompany='Buick', carModel='Coachbuilder', carModelYear='1990', carPrice=98127.28}, location=Location{country='Germany', city='Essen'}, date=2020-03-01}
Purchase{id=156, person=Person{firstName='Corine', lastName='Donhardt', email='cdonhardt4b@skype.com', ipAddress='86.232.98.59'}, car=Car{color='#14731e', carVin='JH4DC53043C993859', carCompany='Buick', carModel='Century', carModelYear='2004', carPrice=22140.55}, location=Location{country='Poland', city='Milówka'}, date=2020-06-25}
Purchase{id=208, person=Person{firstName='Caleb', lastName='Galfour', email='cgalfour5r@sina.com.cn', ipAddress='131.38.165.188'}, car=Car{color='#afeed2', carVin='WAUVF98K09A488580', carCompany='Buick', carModel='Skyhawk', carModelYear='1988', carPrice=13632.45}, location=Location{country='Czech Republic', city='Měcholupy'}, date=2020-04-19}
Purchase{id=260, person=Person{firstName='Sasha', lastName='Suart', email='ssuart77@dailymotion.com', ipAddress='206.84.76.242'}, car=Car{color='#87c7ec', carVin='3C3CFFJHXET569181', carCompany='Buick', carModel='Roadmaster', carModelYear='1996', carPrice=59545.91}, location=Location{country='Poland', city='Stanisław Górny'}, date=2020-07-06}
Purchase{id=261, person=Person{firstName='Shantee', lastName='Borgnet', email='sborgnet78@noaa.gov', ipAddress='251.239.251.181'}, car=Car{color='#3aac40', carVin='4T3BK3BB6FU541674', carCompany='Buick', carModel='Park Avenue', carModelYear='2003', carPrice=62451.10}, location=Location{country='Poland', city='Kaczory'}, date=2020-11-14}
Purchase{id=289, person=Person{firstName='Marjy', lastName='Fullun', email='mfullun80@webnode.com', ipAddress='155.97.202.23'}, car=Car{color='#f6fbdd', carVin='5N1AR1NBXBC148017', carCompany='Buick', carModel='Roadmaster', carModelYear='1993', carPrice=42570.05}, location=Location{country='Poland', city='Zagórnik'}, date=2020-07-31}
Purchase{id=335, person=Person{firstName='Michaelina', lastName='Mollnar', email='mmollnar9a@lulu.com', ipAddress='240.232.229.238'}, car=Car{color='#bd1932', carVin='SCFHDDAJ9BA686334', carCompany='Buick', carModel='Riviera', carModelYear='1979', carPrice=46455.29}, location=Location{country='Czech Republic', city='Dolní Studénky'}, date=2020-03-15}
Purchase{id=372, person=Person{firstName='Janella', lastName='McLaughlin', email='jmclaughlinab@wikimedia.org', ipAddress='201.30.12.64'}, car=Car{color='#61c2be', carVin='JH4DC548X5S673698', carCompany='Buick', carModel='LeSabre', carModelYear='1987', carPrice=15930.60}, location=Location{country='Czech Republic', city='Dolní Rychnov'}, date=2020-11-14}
Purchase{id=439, person=Person{firstName='Catherine', lastName='Heyns', email='cheynsc6@virginia.edu', ipAddress='176.62.217.117'}, car=Car{color='#9ffec6', carVin='5UXZV8C51CL417188', carCompany='Buick', carModel='Park Avenue', carModelYear='1999', carPrice=19287.90}, location=Location{country='Poland', city='Chodzież'}, date=2020-04-23}
Purchase{id=469, person=Person{firstName='Austine', lastName='Goreway', email='agorewayd0@bing.com', ipAddress='3.84.90.236'}, car=Car{color='#614925', carVin='SALAB2V64FA125196', carCompany='Buick', carModel='LaCrosse', carModelYear='2012', carPrice=91641.43}, location=Location{country='Czech Republic', city='Vacenovice'}, date=2020-05-18}
Purchase{id=503, person=Person{firstName='Cecily', lastName='Muge', email='cmugedy@cbsnews.com', ipAddress='146.221.209.213'}, car=Car{color='#b33cea', carVin='3VW467AT6CM351642', carCompany='Buick', carModel='Skylark', carModelYear='1985', carPrice=96346.01}, location=Location{country='Poland', city='Ruda-Huta'}, date=2020-05-06}
Purchase{id=521, person=Person{firstName='Denna', lastName='Malkinson', email='dmalkinsoneg@odnoklassniki.ru', ipAddress='84.65.184.157'}, car=Car{color='#188024', carVin='SCBGR3ZA5DC630752', carCompany='Buick', carModel='Rendezvous', carModelYear='2006', carPrice=23783.83}, location=Location{country='Poland', city='Janowice'}, date=2020-11-30}
Purchase{id=533, person=Person{firstName='Mechelle', lastName='Fountian', email='mfountianes@smh.com.au', ipAddress='2.24.248.83'}, car=Car{color='#bbf877', carVin='JHMZF1C60ES737771', carCompany='Buick', carModel='Riviera', carModelYear='1986', carPrice=42903.43}, location=Location{country='Czech Republic', city='Horní Čermná'}, date=2020-11-29}
Purchase{id=655, person=Person{firstName='Leopold', lastName='Summerskill', email='lsummerskilli6@joomla.org', ipAddress='253.163.146.186'}, car=Car{color='#2ae4e4', carVin='3N6CM0KN0EK435379', carCompany='Buick', carModel='LaCrosse', carModelYear='2010', carPrice=52594.08}, location=Location{country='Czech Republic', city='Nezamyslice'}, date=2020-03-11}
Purchase{id=690, person=Person{firstName='Powell', lastName='Sket', email='psketj5@friendfeed.com', ipAddress='244.5.236.175'}, car=Car{color='#e539d9', carVin='JTHBE5C27D5037364', carCompany='Buick', carModel='Rendezvous', carModelYear='2005', carPrice=98175.12}, location=Location{country='Poland', city='Stanowice'}, date=2020-01-04}
Purchase{id=715, person=Person{firstName='Grissel', lastName='Prebble', email='gprebbleju@networkadvertising.org', ipAddress='150.55.116.199'}, car=Car{color='#5f08db', carVin='1G6DC67A480661314', carCompany='Buick', carModel='Rainier', carModelYear='2004', carPrice=80773.22}, location=Location{country='Poland', city='Wilkołaz'}, date=2020-12-02}
Purchase{id=731, person=Person{firstName='Berkie', lastName='Milam', email='bmilamka@cloudflare.com', ipAddress='138.169.71.151'}, car=Car{color='#88987b', carVin='SALAC2D43CA044201', carCompany='Buick', carModel='Century', carModelYear='2000', carPrice=8718.64}, location=Location{country='Poland', city='Włoszczowa'}, date=2020-07-22}
Purchase{id=745, person=Person{firstName='Thia', lastName='Glenny', email='tglennyko@printfriendly.com', ipAddress='33.206.18.2'}, car=Car{color='#5631a3', carVin='1N4AB7AP2EN430700', carCompany='Buick', carModel='Estate', carModelYear='1989', carPrice=81302.51}, location=Location{country='Czech Republic', city='Stará Huť'}, date=2020-03-27}
Purchase{id=763, person=Person{firstName='Roshelle', lastName='Leber', email='rleberl6@histats.com', ipAddress='12.69.173.234'}, car=Car{color='#e6fa6c', carVin='WDDHF2EB7BA330597', carCompany='Buick', carModel='Regal', carModelYear='2001', carPrice=54411.09}, location=Location{country='Germany', city='München'}, date=2020-02-14}
Purchase{id=773, person=Person{firstName='Loreen', lastName='Reeds', email='lreedslg@weather.com', ipAddress='55.90.84.7'}, car=Car{color='#0b8a97', carVin='1FT7W2A69EE627072', carCompany='Buick', carModel='Park Avenue', carModelYear='2003', carPrice=60691.83}, location=Location{country='Poland', city='Bogoria'}, date=2020-05-04}
Purchase{id=831, person=Person{firstName='Dunn', lastName='Towl', email='dtowln2@about.com', ipAddress='189.95.123.192'}, car=Car{color='#7469ed', carVin='WA1DKAFP3CA540246', carCompany='Buick', carModel='Roadmaster', carModelYear='1993', carPrice=51829.87}, location=Location{country='Czech Republic', city='Šumperk'}, date=2020-12-04}
Purchase{id=874, person=Person{firstName='Sile', lastName='Takkos', email='stakkoso9@scientificamerican.com', ipAddress='9.238.116.134'}, car=Car{color='#b51f1c', carVin='4T1BF3EK3BU925561', carCompany='Buick', carModel='Lucerne', carModelYear='2006', carPrice=2848.09}, location=Location{country='Poland', city='Piasek'}, date=2020-08-21}
