Purchase{id=12, person=Person{firstName='Brannon', lastName='Dexter', email='bdexterb@mozilla.com', ipAddress='242.111.242.135'}, car=Car{color='#1906e0', carVin='1G6DS57VX90897709', carCompany='Cadillac', carModel='Escalade ESV', carModelYear='2007', carPrice=28270.94}, location=Location{country='Poland', city='Rozwadza'}, date=2020-01-12}
Purchase{id=60, person=Person{firstName='Ryan', lastName='Drane', email='rdrane1n@ucla.edu', ipAddress='113.128.203.179'}, car=Car{color='#6354b6', carVin='WBA5M6C5XED138968', carCompany='Cadillac', carModel='CTS', carModelYear='2011', carPrice=25636.62}, location=Location{country='Poland', city='Szydłowo'}, date=2020-05-26}
Purchase{id=70, person=Person{firstName='Linn', lastName='Louche', email='llouche1x@harvard.edu', ipAddress='241.31.139.134'}, car=Car{color='#b56ebc', carVin='1B3CB2HA2AD242557', carCompany='Cadillac', carModel='CTS-V', carModelYear='2009', carPrice=33447.26}, location=Location{country='Poland', city='Miejska Górka'}, date=2020-02-22}
Purchase{id=90, person=Person{firstName='Anita', lastName='Gibbin', email='agibbin2h@lulu.com', ipAddress='55.240.206.240'}, car=Car{color='#4e4639', carVin='3MZBM1L72EM306808', carCompany='Cadillac', carModel='CTS', carModelYear='2004', carPrice=84373.48}, location=Location{country='Poland', city='Łopuszna'}, date=2020-06-01}
Purchase{id=182, person=Person{firstName='Selia', lastName='Delf', email='sdelf51@wordpress.org', ipAddress='239.231.27.205'}, car=Car{color='#926eff', carVin='WAUGU44D43N075201', carCompany='Cadillac', carModel='Eldorado', carModelYear='1995', carPrice=52003.13}, location=Location{country='Poland', city='Wilków'}, date=2020-02-04}
Purchase{id=204, person=Person{firstName='Kassey', lastName='Jehu', email='kjehu5n@squarespace.com', ipAddress='19.45.135.14'}, car=Car{color='#148cb1', carVin='WVGBF7A97AD498149', carCompany='Cadillac', carModel='CTS-V', carModelYear='2007', carPrice=30692.81}, location=Location{country='Poland', city='Praga Północ'}, date=2020-02-18}
Purchase{id=230, person=Person{firstName='Isidoro', lastName='Stockney', email='istockney6d@baidu.com', ipAddress='71.77.214.117'}, car=Car{color='#1f2a96', carVin='3D73Y4HL5AG181322', carCompany='Cadillac', carModel='Escalade EXT', carModelYear='2004', carPrice=81035.43}, location=Location{country='Poland', city='Małkinia Górna'}, date=2020-02-21}
Purchase{id=296, person=Person{firstName='Drugi', lastName='Scurrey', email='dscurrey87@opera.com', ipAddress='138.46.92.46'}, car=Car{color='#f30ea4', carVin='1GD01XEG5FZ282339', carCompany='Cadillac', carModel='SRX', carModelYear='2009', carPrice=28145.95}, location=Location{country='Poland', city='Jonkowo'}, date=2020-01-19}
Purchase{id=332, person=Person{firstName='Chrysler', lastName='Winchcombe', email='cwinchcombe97@jigsy.com', ipAddress='157.252.199.163'}, car=Car{color='#2eb982', carVin='WA1WMBFE9DD812581', carCompany='Cadillac', carModel='Escalade', carModelYear='2008', carPrice=17720.70}, location=Location{country='Denmark', city='København'}, date=2020-03-31}
Purchase{id=453, person=Person{firstName='Erastus', lastName='Charpin', email='echarpinck@cisco.com', ipAddress='19.226.186.181'}, car=Car{color='#5eb88a', carVin='1G6KD57Y06U694523', carCompany='Cadillac', carModel='Escalade EXT', carModelYear='2003', carPrice=97983.31}, location=Location{country='Germany', city='Köln'}, date=2020-01-25}
Purchase{id=573, person=Person{firstName='Charin', lastName='Gotch', email='cgotchfw@topsy.com', ipAddress='31.126.90.122'}, car=Car{color='#ac04c6', carVin='WVWED7AJ9DW454308', carCompany='Cadillac', carModel='Escalade', carModelYear='2006', carPrice=59530.40}, location=Location{country='Czech Republic', city='Hostomice'}, date=2020-12-08}
Purchase{id=575, person=Person{firstName='Derek', lastName='Fell', email='dfellfy@odnoklassniki.ru', ipAddress='68.239.166.160'}, car=Car{color='#284e74', carVin='WAUAF78E57A216018', carCompany='Cadillac', carModel='Escalade EXT', carModelYear='2012', carPrice=4916.34}, location=Location{country='Czech Republic', city='Vřesina'}, date=2020-06-03}
Purchase{id=614, person=Person{firstName='Ferdinand', lastName='Wethered', email='fwetheredh1@php.net', ipAddress='108.5.13.188'}, car=Car{color='#08ea45', carVin='WBADT53492C781846', carCompany='Cadillac', carModel='DeVille', carModelYear='1993', carPrice=3635.44}, location=Location{country='Czech Republic', city='Řehlovice'}, date=2020-03-01}
Purchase{id=664, person=Person{firstName='Richmond', lastName='Gartin', email='rgartinif@smh.com.au', ipAddress='150.231.78.143'}, car=Car{color='#aa7c7a', carVin='1G6EL12Y71B193231', carCompany='Cadillac', carModel='DeVille', carModelYear='2003', carPrice=69314.01}, location=Location{country='Poland', city='Połajewo'}, date=2020-09-01}
Purchase{id=685, person=Person{firstName='Wayne', lastName='Ainslee', email='wainsleej0@tamu.edu', ipAddress='245.73.253.149'}, car=Car{color='#993abd', carVin='W04GU5GC6B1388214', carCompany='Cadillac', carModel='Seville', carModelYear='2000', carPrice=10923.46}, location=Location{country='Poland', city='Licheń Stary'}, date=2020-03-18}
Purchase{id=700, person=Person{firstName='Hendrika', lastName='Henzer', email='hhenzerjf@earthlink.net', ipAddress='66.26.160.212'}, car=Car{color='#bab7bb', carVin='1C4SDJCT5FC458360', carCompany='Cadillac', carModel='SRX', carModelYear='2009', carPrice=56724.53}, location=Location{country='Poland', city='Siemianowice Śląskie'}, date=2020-10-08}
Purchase{id=723, person=Person{firstName='Lou', lastName='Spittle', email='lspittlek2@google.cn', ipAddress='7.89.74.148'}, car=Car{color='#64a2a1', carVin='WBAEH13567C622572', carCompany='Cadillac', carModel='Eldorado', carModelYear='2001', carPrice=19680.87}, location=Location{country='Poland', city='Włoszczowa'}, date=2020-06-10}
Purchase{id=836, person=Person{firstName='Porty', lastName='Hamber', email='phambern7@slashdot.org', ipAddress='25.55.104.53'}, car=Car{color='#dfffeb', carVin='WAUMGAFL0EA647324', carCompany='Cadillac', carModel='Seville', carModelYear='2004', carPrice=58204.20}, location=Location{country='Czech Republic', city='Jistebnice'}, date=2020-10-29}
Purchase{id=848, person=Person{firstName='Bertine', lastName='Rispen', email='brispennj@hhs.gov', ipAddress='166.238.198.27'}, car=Car{color='#e1ec7b', carVin='JTHBL1EF5A5204900', carCompany='Cadillac', carModel='Escalade ESV', carModelYear='2009', carPrice=67009.11}, location=Location{country='Denmark', city='København'}, date=2020-08-18}
Purchase{id=867, person=Person{firstName='Irving', lastName='Schult', email='ischulto2@etsy.com', ipAddress='205.233.61.28'}, car=Car{color='#efc402', carVin='2FMDK3AK5CB018390', carCompany='Cadillac', carModel='Seville', carModelYear='2003', carPrice=33537.49}, location=Location{country='Poland', city='Borne Sulinowo'}, date=2020-05-15}
Purchase{id=974, person=Person{firstName='Nil', lastName='Broggio', email='nbroggior1@sourceforge.net', ipAddress='84.124.154.88'}, car=Car{color='#989264', carVin='KMHFC4DD4BA315334', carCompany='Cadillac', carModel='Fleetwood', carModelYear='1993', carPrice=97896.49}, location=Location{country='Czech Republic', city='Darkovice'}, date=2020-11-19}
