Purchase{id=1, person=Person{firstName='Marsh', lastName='Polon', email='mpolon0@google.de', ipAddress='155.43.28.214'}, car=Car{color='#255a97', carVin='3D7TT2HT8BG370793', carCompany='Chevrolet', carModel='Cobalt', carModelYear='2006', carPrice=67487.58}, location=Location{country='Czech Republic', city='Bořetice'}, date=2020-09-03}
Purchase{id=6, person=Person{firstName='Bobbi', lastName='Sulland', email='bsulland5@barnesandnoble.com', ipAddress='94.203.49.152'}, car=Car{color='#3c1515', carVin='SALAB2D42BA929152', carCompany='Chevrolet', carModel='Silverado 2500', carModelYear='2010', carPrice=35588.74}, location=Location{country='Poland', city='Bielawa'}, date=2020-03-27}
Purchase{id=10, person=Person{firstName='Lynna', lastName='Jossel', email='ljossel9@archive.org', ipAddress='68.72.88.141'}, car=Car{color='#0c6d6a', carVin='1N6AA0CH9DN190180', carCompany='Chevrolet', carModel='Malibu', carModelYear='2001', carPrice=80118.18}, location=Location{country='Czech Republic', city='Hvozdná'}, date=2020-07-14}
Purchase{id=14, person=Person{firstName='Giulio', lastName='Ing', email='gingd@baidu.com', ipAddress='107.44.207.136'}, car=Car{color='#db7c98', carVin='WA1AGBFE4CD164891', carCompany='Chevrolet', carModel='Suburban 2500', carModelYear='2003', carPrice=88935.98}, location=Location{country='Poland', city='Żarki-Letnisko'}, date=2020-03-27}
Purchase{id=15, person=Person{firstName='Lela', lastName='Masson', email='lmassone@lycos.com', ipAddress='62.176.227.100'}, car=Car{color='#805251', carVin='5N1AT2ML7FC391968', carCompany='Chevrolet', carModel='Express 1500', carModelYear='2007', carPrice=19212.71}, location=Location{country='Poland', city='Wysoka'}, date=2020-05-09}
Purchase{id=21, person=Person{firstName='Angy', lastName='Lorrie', email='alorriek@hc360.com', ipAddress='185.136.110.75'}, car=Car{color='#3af52c', carVin='3FAHP0DCXAR054903', carCompany='Chevrolet', carModel='Equinox', carModelYear='2006', carPrice=52849.21}, location=Location{country='Poland', city='Damnica'}, date=2020-01-22}
Purchase{id=24, person=Person{firstName='Rowney', lastName='Selwyn', email='rselwynn@arizona.edu', ipAddress='209.20.40.139'}, car=Car{color='#eb78a0', carVin='TRUDD38J281626648', carCompany='Chevrolet', carModel='Malibu', carModelYear='2002', carPrice=9224.59}, location=Location{country='Poland', city='Wólka Pełkińska'}, date=2020-11-01}
Purchase{id=28, person=Person{firstName='Adi', lastName='Huggon', email='ahuggonr@dion.ne.jp', ipAddress='127.124.60.202'}, car=Car{color='#81bbba', carVin='2T2BK1BA9EC555360', carCompany='Chevrolet', carModel='G-Series G10', carModelYear='1995', carPrice=73435.81}, location=Location{country='Poland', city='Ryczów'}, date=2020-11-20}
Purchase{id=43, person=Person{firstName='Juana', lastName='Longlands', email='jlonglands16@istockphoto.com', ipAddress='250.100.0.186'}, car=Car{color='#5a4ec0', carVin='2C3CCABG9EH016824', carCompany='Chevrolet', carModel='Express 2500', carModelYear='1996', carPrice=37242.60}, location=Location{country='Czech Republic', city='Žulová'}, date=2020-01-15}
Purchase{id=51, person=Person{firstName='Nessi', lastName='Tripony', email='ntripony1e@yellowbook.com', ipAddress='214.74.7.152'}, car=Car{color='#53c426', carVin='1YVHZ8BA6A5767573', carCompany='Chevrolet', carModel='Impala', carModelYear='2012', carPrice=80557.94}, location=Location{country='Poland', city='Lubomierz'}, date=2020-12-30}
Purchase{id=130, person=Person{firstName='Chrissy', lastName='Reppaport', email='creppaport3l@eventbrite.com', ipAddress='248.190.235.230'}, car=Car{color='#b7cc8d', carVin='5UXFG2C53BL477935', carCompany='Chevrolet', carModel='Tahoe', carModelYear='2011', carPrice=48509.46}, location=Location{country='Poland', city='Babiak'}, date=2020-07-28}
