Purchase{id=18, person=Person{firstName='Kissee', lastName='Paull', email='kpaullh@blogs.com', ipAddress='226.237.22.103'}, car=Car{color='#9da9d2', carVin='WA1LFAFP9CA893316', carCompany='Chrysler', carModel='300M', carModelYear='2003', carPrice=63058.40}, location=Location{country='Poland', city='Niedzica'}, date=2020-10-26}
Purchase{id=83, person=Person{firstName='Alethea', lastName='Greensted', email='agreensted2a@blogspot.com', ipAddress='207.120.225.241'}, car=Car{color='#42b5c5', carVin='WA1CYBFE6AD346143', carCompany='Chrysler', carModel='Concorde', carModelYear='2001', carPrice=37644.77}, location=Location{country='Poland', city='Łysomice'}, date=2020-08-31}
Purchase{id=96, person=Person{firstName='Ali', lastName='Chang', email='achang2n@archive.org', ipAddress='30.226.219.224'}, car=Car{color='#b8342f', carVin='3N1CE2CPXFL569911', carCompany='Chrysler', carModel='PT Cruiser', carModelYear='2007', carPrice=15721.87}, location=Location{country='Poland', city='Zielonka'}, date=2020-01-03}
Purchase{id=132, person=Person{firstName='Elna', lastName='Matyukon', email='ematyukon3n@tmall.com', ipAddress='70.245.48.64'}, car=Car{color='#1922c4', carVin='1GKS1AEC8FR177192', carCompany='Chrysler', carModel='New Yorker', carModelYear='1996', carPrice=639.91}, location=Location{country='Czech Republic', city='Bořitov'}, date=2020-06-17}
Purchase{id=147, person=Person{firstName='Taddeusz', lastName='Abberley', email='tabberley42@so-net.ne.jp', ipAddress='96.32.64.77'}, car=Car{color='#57728c', carVin='WAUSH98E26A653886', carCompany='Chrysler', carModel='Concorde', carModelYear='2001', carPrice=6938.73}, location=Location{country='Poland', city='Malbork'}, date=2020-06-04}
Purchase{id=226, person=Person{firstName='Aundrea', lastName='Bail', email='abail69@guardian.co.uk', ipAddress='192.77.158.95'}, car=Car{color='#c6711e', carVin='SALVP2BG3FH478858', carCompany='Chrysler', carModel='PT Cruiser', carModelYear='2003', carPrice=77632.50}, location=Location{country='Poland', city='Goworowo'}, date=2020-06-20}
Purchase{id=331, person=Person{firstName='Wayne', lastName='Hungerford', email='whungerford96@cafepress.com', ipAddress='233.189.100.255'}, car=Car{color='#e59c76', carVin='1G4HP52K44U838472', carCompany='Chrysler', carModel='Cirrus', carModelYear='2000', carPrice=52197.41}, location=Location{country='Czech Republic', city='Jablunkov'}, date=2020-03-21}
Purchase{id=365, person=Person{firstName='Gardy', lastName='Smithe', email='gsmithea4@miibeian.gov.cn', ipAddress='122.77.115.51'}, car=Car{color='#b75cb4', carVin='3FA6P0SU1DR045806', carCompany='Chrysler', carModel='PT Cruiser', carModelYear='2001', carPrice=93248.67}, location=Location{country='Poland', city='Rybno'}, date=2020-07-26}
Purchase{id=408, person=Person{firstName='Frayda', lastName='Asson', email='fassonbb@ibm.com', ipAddress='122.56.109.141'}, car=Car{color='#46d325', carVin='5XYKT3A6XFG661316', carCompany='Chrysler', carModel='300M', carModelYear='2000', carPrice=38131.86}, location=Location{country='Poland', city='Kętrzyn'}, date=2020-12-27}
Purchase{id=552, person=Person{firstName='Winnie', lastName='Pattisson', email='wpattissonfb@pagesperso-orange.fr', ipAddress='209.52.195.203'}, car=Car{color='#a77a7f', carVin='5GAKVCKD2DJ389334', carCompany='Chrysler', carModel='Concorde', carModelYear='1995', carPrice=27196.08}, location=Location{country='Czech Republic', city='Nýdek'}, date=2020-05-29}
Purchase{id=571, person=Person{firstName='Sisely', lastName='Burhouse', email='sburhousefu@reference.com', ipAddress='149.89.251.104'}, car=Car{color='#c7a906', carVin='WUAW2AFC2FN180690', carCompany='Chrysler', carModel='Aspen', carModelYear='2008', carPrice=43763.08}, location=Location{country='Poland', city='Dukla'}, date=2020-01-13}
Purchase{id=618, person=Person{firstName='Violet', lastName='Dartnell', email='vdartnellh5@admin.ch', ipAddress='26.169.145.212'}, car=Car{color='#2e61c7', carVin='1G4HP54KX44137643', carCompany='Chrysler', carModel='Concorde', carModelYear='2000', carPrice=83447.00}, location=Location{country='Czech Republic', city='Březová'}, date=2020-06-14}
Purchase{id=704, person=Person{firstName='Clay', lastName='Tedder', email='ctedderjj@umn.edu', ipAddress='213.249.134.20'}, car=Car{color='#4f1f63', carVin='19VDE1F58DE165280', carCompany='Chrysler', carModel='Town & Country', carModelYear='2002', carPrice=31825.27}, location=Location{country='Poland', city='Syców'}, date=2020-03-24}
Purchase{id=753, person=Person{firstName='Karina', lastName='Stainer', email='kstainerkw@e-recht24.de', ipAddress='190.39.22.207'}, car=Car{color='#e0d33e', carVin='3D4PH9FV8AT627616', carCompany='Chrysler', carModel='Sebring', carModelYear='2000', carPrice=87816.17}, location=Location{country='Poland', city='Paprotnia'}, date=2020-01-14}
Purchase{id=767, person=Person{firstName='Conney', lastName='Derham', email='cderhamla@tripadvisor.com', ipAddress='161.192.57.99'}, car=Car{color='#89cfd8', carVin='WA1YD54B12N562456', carCompany='Chrysler', carModel='Sebring', carModelYear='1998', carPrice=94816.65}, location=Location{country='Poland', city='Rzewnie'}, date=2020-11-22}
Purchase{id=866, person=Person{firstName='Clarie', lastName='Faragher', email='cfaraghero1@tumblr.com', ipAddress='162.148.212.146'}, car=Car{color='#503cf7', carVin='1C4RDHEG1DC613099', carCompany='Chrysler', carModel='300', carModelYear='1999', carPrice=91386.40}, location=Location{country='Poland', city='Krotoszyn'}, date=2020-09-08}
Purchase{id=926, person=Person{firstName='Karyn', lastName='Nye', email='knyepp@gizmodo.com', ipAddress='139.198.175.59'}, car=Car{color='#8fd156', carVin='1GYFC53239R755576', carCompany='Chrysler', carModel='Voyager', carModelYear='2003', carPrice=22886.89}, location=Location{country='Poland', city='Kołczygłowy'}, date=2020-03-03}
Purchase{id=952, person=Person{firstName='Carley', lastName='Double', email='cdoubleqf@creativecommons.org', ipAddress='79.178.153.173'}, car=Car{color='#cbc8fd', carVin='2G4WS55J031845440', carCompany='Chrysler', carModel='Concorde', carModelYear='1996', carPrice=20549.93}, location=Location{country='Czech Republic', city='Bechlín'}, date=2020-02-23}
Purchase{id=966, person=Person{firstName='Piotr', lastName='Stoffers', email='pstoffersqt@moonfruit.com', ipAddress='11.207.240.57'}, car=Car{color='#8c01f0', carVin='5N1AN0NU2BC475745', carCompany='Chrysler', carModel='Town & Country', carModelYear='2011', carPrice=67749.86}, location=Location{country='Czech Republic', city='Dobřany'}, date=2020-05-31}
