Purchase{id=9, person=Person{firstName='Antonella', lastName='Riepl', email='ariepl8@mediafire.com', ipAddress='169.75.223.75'}, car=Car{color='#7c776f', carVin='2D4RN5D13AR749927', carCompany='Dodge', carModel='Neon', carModelYear='2004', carPrice=18117.79}, location=Location{country='Poland', city='Dobrzyca'}, date=2020-03-11}
Purchase{id=13, person=Person{firstName='Nester', lastName='Caurah', email='ncaurahc@google.fr', ipAddress='70.71.96.24'}, car=Car{color='#4e0fab', carVin='2C3CDXHG5EH264592', carCompany='Dodge', carModel='Charger', carModelYear='2009', carPrice=75360.35}, location=Location{country='Germany', city='Berlin'}, date=2020-04-03}
Purchase{id=17, person=Person{firstName='Gerty', lastName='Mouse', email='gmouseg@alexa.com', ipAddress='23.47.231.189'}, car=Car{color='#7aef95', carVin='3GYT4MEF1DG663367', carCompany='Dodge', carModel='Ram Van 1500', carModelYear='1999', carPrice=6048.17}, location=Location{country='Czech Republic', city='Zákupy'}, date=2020-06-13}
Purchase{id=39, person=Person{firstName='Delores', lastName='Wye', email='dwye12@fotki.com', ipAddress='166.186.146.27'}, car=Car{color='#3bcc7f', carVin='1YVHZ8BH3B5464829', carCompany='Dodge', carModel='D150 Club', carModelYear='1992', carPrice=45687.25}, location=Location{country='Poland', city='Skorogoszcz'}, date=2020-03-17}
Purchase{id=56, person=Person{firstName='Gerladina', lastName='Bonifas', email='gbonifas1j@nytimes.com', ipAddress='86.232.119.84'}, car=Car{color='#41c993', carVin='19XFB4F21FE114495', carCompany='Dodge', carModel='Grand Caravan', carModelYear='1995', carPrice=28993.93}, location=Location{country='Czech Republic', city='Mikulovice'}, date=2020-01-27}
Purchase{id=61, person=Person{firstName='Emelina', lastName='Quilter', email='equilter1o@cisco.com', ipAddress='225.139.20.128'}, car=Car{color='#8b5783', carVin='1N6AA0EK9FN039447', carCompany='Dodge', carModel='Dakota Club', carModelYear='2002', carPrice=15054.17}, location=Location{country='Czech Republic', city='Strančice'}, date=2020-05-05}
Purchase{id=125, person=Person{firstName='Gae', lastName='Lumox', email='glumox3g@vkontakte.ru', ipAddress='70.104.8.190'}, car=Car{color='#d64ec1', carVin='WAUBF98E48A446067', carCompany='Dodge', carModel='Grand Caravan', carModelYear='2007', carPrice=15038.94}, location=Location{country='Czech Republic', city='Zastávka'}, date=2020-03-26}
Purchase{id=139, person=Person{firstName='Pietrek', lastName='Gallahar', email='pgallahar3u@springer.com', ipAddress='147.211.96.165'}, car=Car{color='#4977be', carVin='WBAKA4C53BC902323', carCompany='Dodge', carModel='Ram 1500', carModelYear='2008', carPrice=98109.15}, location=Location{country='Czech Republic', city='Golčův Jeníkov'}, date=2020-01-18}
Purchase{id=141, person=Person{firstName='Eden', lastName='Scamadin', email='escamadin3w@photobucket.com', ipAddress='125.62.186.223'}, car=Car{color='#79753b', carVin='4T1BF1FKXDU192155', carCompany='Dodge', carModel='Stratus', carModelYear='2004', carPrice=75713.09}, location=Location{country='Czech Republic', city='Kobeřice'}, date=2020-12-25}
Purchase{id=170, person=Person{firstName='Korney', lastName='Teffrey', email='kteffrey4p@npr.org', ipAddress='7.67.205.222'}, car=Car{color='#00b2d9', carVin='SAJWA4DC4DM603701', carCompany='Dodge', carModel='Dakota Club', carModelYear='1998', carPrice=24630.42}, location=Location{country='Poland', city='Strzelce'}, date=2020-10-20}
Purchase{id=224, person=Person{firstName='Augustine', lastName='Niles', email='aniles67@nymag.com', ipAddress='212.220.241.14'}, car=Car{color='#489fe8', carVin='5J6YH1H30AL143945', carCompany='Dodge', carModel='Ram 3500 Club', carModelYear='1997', carPrice=51816.43}, location=Location{country='Poland', city='Sarnów'}, date=2020-10-01}
Purchase{id=237, person=Person{firstName='Stafani', lastName='Varnham', email='svarnham6k@weather.com', ipAddress='145.239.57.201'}, car=Car{color='#d10e87', carVin='SALAG2D44DA741088', carCompany='Dodge', carModel='Ram Van 1500', carModelYear='1996', carPrice=37628.39}, location=Location{country='Czech Republic', city='Fryčovice'}, date=2020-02-06}
Purchase{id=242, person=Person{firstName='Orsa', lastName='Abbotson', email='oabbotson6p@mtv.com', ipAddress='60.105.181.167'}, car=Car{color='#c4a6ed', carVin='1B3CB5HA1AD958772', carCompany='Dodge', carModel='Daytona', carModelYear='1984', carPrice=65849.56}, location=Location{country='Poland', city='Wola Uhruska'}, date=2020-02-06}
Purchase{id=283, person=Person{firstName='Julio', lastName='Stickles', email='jstickles7u@ehow.com', ipAddress='188.10.28.24'}, car=Car{color='#6a2893', carVin='1G6DC8EY0B0176915', carCompany='Dodge', carModel='Magnum', carModelYear='2006', carPrice=64382.28}, location=Location{country='Poland', city='Świdnica'}, date=2020-03-30}
