Purchase{id=7, person=Person{firstName='Ilario', lastName='Gillott', email='igillott6@cpanel.net', ipAddress='48.182.6.82'}, car=Car{color='#c7590d', carVin='WBAEH73465B522209', carCompany='Ford', carModel='Thunderbird', carModelYear='1955', carPrice=17700.70}, location=Location{country='Poland', city='Wapno'}, date=2020-06-04}
Purchase{id=11, person=Person{firstName='Ninette', lastName='Minard', email='nminarda@tinypic.com', ipAddress='248.97.165.1'}, car=Car{color='#ce2408', carVin='3D7TT2HTXBG962910', carCompany='Ford', carModel='Escape', carModelYear='2000', carPrice=66074.00}, location=Location{country='Czech Republic', city='Staré Město'}, date=2020-09-19}
Purchase{id=33, person=Person{firstName='Sheri', lastName='Dunham', email='sdunhamw@behance.net', ipAddress='117.185.200.59'}, car=Car{color='#af1431', carVin='1FTNX2A50AE167788', carCompany='Ford', carModel='Mustang', carModelYear='2001', carPrice=98060.01}, location=Location{country='Poland', city='Fajsławice'}, date=2020-05-11}
Purchase{id=42, person=Person{firstName='Torey', lastName='Baake', email='tbaake15@infoseek.co.jp', ipAddress='236.205.233.29'}, car=Car{color='#e577f8', carVin='3C3CFFFH5ET105840', carCompany='Ford', carModel='Escape', carModelYear='2004', carPrice=77271.23}, location=Location{country='Poland', city='Malbork'}, date=2020-12-17}
Purchase{id=49, person=Person{firstName='Bjorn', lastName='Fawthrop', email='bfawthrop1c@boston.com', ipAddress='170.135.22.129'}, car=Car{color='#ecfcdb', carVin='1FAHP3EN6BW566772', carCompany='Ford', carModel='Edge', carModelYear='2010', carPrice=23688.13}, location=Location{country='Czech Republic', city='Plasy'}, date=2020-12-07}
Purchase{id=52, person=Person{firstName='Garvey', lastName='Laval', email='glaval1f@aboutads.info', ipAddress='121.166.111.198'}, car=Car{color='#e46be0', carVin='WDDHH8JB4FB844541', carCompany='Ford', carModel='F350', carModelYear='2007', carPrice=29919.74}, location=Location{country='Poland', city='Trzciana'}, date=2020-06-19}
Purchase{id=57, person=Person{firstName='Lexie', lastName='Quesne', email='lquesne1k@huffingtonpost.com', ipAddress='170.229.138.252'}, car=Car{color='#0b6ac2', carVin='3D73M3CL8AG088050', carCompany='Ford', carModel='Escape', carModelYear='2011', carPrice=84054.37}, location=Location{country='Germany', city='München'}, date=2020-02-02}
Purchase{id=63, person=Person{firstName='Elinor', lastName='Walicki', email='ewalicki1q@myspace.com', ipAddress='4.80.205.89'}, car=Car{color='#d38c8b', carVin='WP0AA2A81FK247865', carCompany='Ford', carModel='E-Series', carModelYear='1990', carPrice=36141.09}, location=Location{country='Poland', city='Kłomnice'}, date=2020-08-17}
Purchase{id=87, person=Person{firstName='Hephzibah', lastName='Llorens', email='hllorens2e@nba.com', ipAddress='153.32.83.243'}, car=Car{color='#4983ba', carVin='19UUA65626A610940', carCompany='Ford', carModel='Escape', carModelYear='2004', carPrice=24614.31}, location=Location{country='Czech Republic', city='Ostravice'}, date=2020-01-06}
Purchase{id=88, person=Person{firstName='Waite', lastName='Barnfather', email='wbarnfather2f@1688.com', ipAddress='25.134.227.114'}, car=Car{color='#bb13fb', carVin='WBAKP9C54ED316479', carCompany='Ford', carModel='Mustang', carModelYear='1992', carPrice=75613.97}, location=Location{country='Czech Republic', city='Klobuky'}, date=2020-10-13}
Purchase{id=92, person=Person{firstName='Erhart', lastName='Spruce', email='espruce2j@techcrunch.com', ipAddress='48.165.178.142'}, car=Car{color='#b24052', carVin='19UUA9F50EA902169', carCompany='Ford', carModel='Bronco', carModelYear='1984', carPrice=75345.93}, location=Location{country='Czech Republic', city='Chabařovice'}, date=2020-11-22}
