Purchase{id=41, person=Person{firstName='Queenie', lastName='Vial', email='qvial14@multiply.com', ipAddress='201.11.195.220'}, car=Car{color='#e8facb', carVin='WAUCFAFH8BN695474', carCompany='GMC', carModel='Suburban 1500', carModelYear='1993', carPrice=31746.21}, location=Location{country='Slovakia', city='Bratislava'}, date=2020-09-06}
Purchase{id=84, person=Person{firstName='Erich', lastName='Cuniam', email='ecuniam2b@home.pl', ipAddress='40.1.115.216'}, car=Car{color='#b82390', carVin='JN8AZ2NC7D9278912', carCompany='GMC', carModel='Jimmy', carModelYear='1995', carPrice=64474.61}, location=Location{country='Germany', city='Mainz'}, date=2020-07-27}
Purchase{id=101, person=Person{firstName='Cassi', lastName='Lathey', email='clathey2s@amazonaws.com', ipAddress='107.61.186.115'}, car=Car{color='#f6a43a', carVin='3VW4A7AT5DM856202', carCompany='GMC', carModel='Yukon', carModelYear='2005', carPrice=64903.07}, location=Location{country='Czech Republic', city='Chroustovice'}, date=2020-06-06}
Purchase{id=107, person=Person{firstName='Luis', lastName='Charrisson', email='lcharrisson2y@over-blog.com', ipAddress='173.83.117.187'}, car=Car{color='#0478e5', carVin='WVGEF9BP1ED017355', carCompany='GMC', carModel='2500', carModelYear='1994', carPrice=38509.40}, location=Location{country='Czech Republic', city='Osek nad Bečvou'}, date=2020-10-05}
Purchase{id=155, person=Person{firstName='Shea', lastName='Dinzey', email='sdinzey4a@behance.net', ipAddress='142.156.31.64'}, car=Car{color='#2b6d57', carVin='2T1BU4EE8BC638837', carCompany='GMC', carModel='Sierra Denali', carModelYear='2006', carPrice=98958.47}, location=Location{country='Poland', city='Huta Stara B'}, date=2020-06-02}
Purchase{id=165, person=Person{firstName='Phillip', lastName='Arens', email='parens4k@chicagotribune.com', ipAddress='5.104.36.246'}, car=Car{color='#a443d7', carVin='WBAKF3C58CJ512861', carCompany='GMC', carModel='Yukon XL 1500', carModelYear='2005', carPrice=55144.44}, location=Location{country='Poland', city='Solec-Zdrój'}, date=2020-06-15}
Purchase{id=184, person=Person{firstName='Ole', lastName='Goymer', email='ogoymer53@ask.com', ipAddress='113.144.242.228'}, car=Car{color='#2a3c74', carVin='2HNYD18675H930982', carCompany='GMC', carModel='Suburban 1500', carModelYear='1997', carPrice=57284.76}, location=Location{country='Poland', city='Goworowo'}, date=2020-07-20}
Purchase{id=205, person=Person{firstName='Phyllis', lastName='Moysey', email='pmoysey5o@ezinearticles.com', ipAddress='205.115.97.222'}, car=Car{color='#57c0fc', carVin='1GYEE23A890226205', carCompany='GMC', carModel='1500', carModelYear='1998', carPrice=64062.67}, location=Location{country='Poland', city='Wiązownica'}, date=2020-09-15}
Purchase{id=215, person=Person{firstName='Antoni', lastName='Laneham', email='alaneham5y@sbwire.com', ipAddress='31.69.2.106'}, car=Car{color='#72ec52', carVin='KMHTC6AD8DU738521', carCompany='GMC', carModel='Sierra', carModelYear='2008', carPrice=51743.05}, location=Location{country='Denmark', city='København'}, date=2020-09-12}
Purchase{id=262, person=Person{firstName='Tiphany', lastName='Le Gall', email='tlegall79@hc360.com', ipAddress='242.214.94.194'}, car=Car{color='#cca36e', carVin='WBAVM1C57EV303937', carCompany='GMC', carModel='Envoy', carModelYear='2008', carPrice=58388.07}, location=Location{country='Czech Republic', city='Žďár'}, date=2020-06-02}
Purchase{id=263, person=Person{firstName='Perren', lastName='Stroband', email='pstroband7a@google.co.jp', ipAddress='26.153.98.123'}, car=Car{color='#9bb4bb', carVin='5N1AA0NC8DN550684', carCompany='GMC', carModel='Safari', carModelYear='1994', carPrice=61548.34}, location=Location{country='Poland', city='Czerwieńsk'}, date=2020-12-17}
Purchase{id=292, person=Person{firstName='Giles', lastName='Connow', email='gconnow83@youtube.com', ipAddress='235.79.131.45'}, car=Car{color='#0f626f', carVin='JTDJTUD38ED707208', carCompany='GMC', carModel='Yukon XL 2500', carModelYear='2007', carPrice=69035.73}, location=Location{country='Poland', city='Malanów'}, date=2020-11-20}
Purchase{id=308, person=Person{firstName='Granthem', lastName='Eadon', email='geadon8j@salon.com', ipAddress='132.24.118.249'}, car=Car{color='#19c402', carVin='KM8NU4CC4AU614708', carCompany='GMC', carModel='Yukon', carModelYear='2004', carPrice=72033.77}, location=Location{country='Czech Republic', city='Plasy'}, date=2020-05-02}
Purchase{id=348, person=Person{firstName='Gearard', lastName='Kingscote', email='gkingscote9n@engadget.com', ipAddress='40.44.207.217'}, car=Car{color='#c2f4d5', carVin='WAULC58E35A583020', carCompany='GMC', carModel='Yukon XL', carModelYear='2006', carPrice=11181.27}, location=Location{country='Poland', city='Gierałtowice'}, date=2020-11-16}
Purchase{id=375, person=Person{firstName='Shayna', lastName='Schruur', email='sschruurae@delicious.com', ipAddress='25.127.2.92'}, car=Car{color='#9aaf0a', carVin='1GYEE637960103908', carCompany='GMC', carModel='Sierra 3500HD', carModelYear='2006', carPrice=84773.86}, location=Location{country='Czech Republic', city='Valašská Polanka'}, date=2020-07-25}
Purchase{id=387, person=Person{firstName='Mady', lastName='MacGrath', email='mmacgrathaq@odnoklassniki.ru', ipAddress='168.173.158.37'}, car=Car{color='#516f4f', carVin='4T1BD1FK7EU858671', carCompany='GMC', carModel='Sierra 3500', carModelYear='2008', carPrice=53506.27}, location=Location{country='Poland', city='Fabianki'}, date=2020-02-07}
Purchase{id=395, person=Person{firstName='Umeko', lastName='Taylerson', email='utaylersonay@e-recht24.de', ipAddress='5.0.35.239'}, car=Car{color='#6de45b', carVin='KNAGM4AD8B5260354', carCompany='GMC', carModel='1500', carModelYear='1992', carPrice=3070.67}, location=Location{country='Czech Republic', city='Žatec'}, date=2020-01-18}
Purchase{id=426, person=Person{firstName='Marilin', lastName='Fibbit', email='mfibbitbt@livejournal.com', ipAddress='80.250.14.80'}, car=Car{color='#707a7d', carVin='WAUEH94F66N031733', carCompany='GMC', carModel='Savana', carModelYear='2009', carPrice=31054.78}, location=Location{country='Czech Republic', city='Libochovice'}, date=2020-03-20}
Purchase{id=446, person=Person{firstName='Fern', lastName='Lakenton', email='flakentoncd@facebook.com', ipAddress='159.220.193.208'}, car=Car{color='#40b818', carVin='WAUML54DX1N686746', carCompany='GMC', carModel='Jimmy', carModelYear='2000', carPrice=47126.24}, location=Location{country='Poland', city='Szelków'}, date=2020-01-16}
Purchase{id=507, person=Person{firstName='Brittni', lastName='Aingel', email='baingele2@sina.com.cn', ipAddress='53.42.198.158'}, car=Car{color='#441168', carVin='JN8AZ1MU0EW246066', carCompany='GMC', carModel='Savana 2500', carModelYear='2006', carPrice=43340.55}, location=Location{country='Poland', city='Gościeradów'}, date=2020-08-05}
Purchase{id=534, person=Person{firstName='Sibeal', lastName='Clementi', email='sclementiet@deliciousdays.com', ipAddress='89.71.181.135'}, car=Car{color='#c34a0f', carVin='5N1AN0NWXFN186320', carCompany='GMC', carModel='Sierra 2500HD', carModelYear='2006', carPrice=40112.71}, location=Location{country='Poland', city='Janowice'}, date=2020-03-10}
Purchase{id=589, person=Person{firstName='Isidor', lastName='Yellowlea', email='iyellowleagc@ucoz.com', ipAddress='151.112.41.48'}, car=Car{color='#6d0aee', carVin='WBSKG9C59CE840763', carCompany='GMC', carModel='Safari', carModelYear='1998', carPrice=51305.64}, location=Location{country='Poland', city='Dolsk'}, date=2020-04-22}
