Purchase{id=119, person=Person{firstName='Arielle', lastName='Guilloud', email='aguilloud3a@instagram.com', ipAddress='68.234.56.80'}, car=Car{color='#d2b6dd', carVin='3C6JD6DKXCG825607', carCompany='Hyundai', carModel='Veracruz', carModelYear='2009', carPrice=9339.93}, location=Location{country='Czech Republic', city='Zlín'}, date=2020-02-28}
Purchase{id=151, person=Person{firstName='Granthem', lastName='Van Salzberger', email='gvansalzberger46@blinklist.com', ipAddress='53.2.58.249'}, car=Car{color='#f7746e', carVin='1B3BD2FB1BN314720', carCompany='Hyundai', carModel='Veracruz', carModelYear='2007', carPrice=78018.69}, location=Location{country='Slovakia', city='Bratislava'}, date=2020-07-28}
Purchase{id=220, person=Person{firstName='Katleen', lastName='Thirlwell', email='kthirlwell63@prweb.com', ipAddress='186.43.128.139'}, car=Car{color='#e6eea6', carVin='YV1952AS8D1537259', carCompany='Hyundai', carModel='Genesis Coupe', carModelYear='2010', carPrice=16713.20}, location=Location{country='Poland', city='Złoczew'}, date=2020-09-04}
Purchase{id=319, person=Person{firstName='Hobey', lastName='Brinkler', email='hbrinkler8u@amazon.co.uk', ipAddress='115.103.9.158'}, car=Car{color='#1425ec', carVin='JTHKD5BH7D2683417', carCompany='Hyundai', carModel='Tiburon', carModelYear='2007', carPrice=64358.19}, location=Location{country='Germany', city='Essen'}, date=2020-08-20}
Purchase{id=337, person=Person{firstName='Sebastien', lastName='Guinan', email='sguinan9c@istockphoto.com', ipAddress='137.46.185.192'}, car=Car{color='#d3a290', carVin='WAUKG68E45A123919', carCompany='Hyundai', carModel='Sonata', carModelYear='1995', carPrice=59514.90}, location=Location{country='Czech Republic', city='Perštejn'}, date=2020-05-10}
Purchase{id=357, person=Person{firstName='Beltran', lastName='Crosseland', email='bcrosseland9w@hao123.com', ipAddress='195.239.193.201'}, car=Car{color='#b70c2b', carVin='SCFAB01A16G868855', carCompany='Hyundai', carModel='Sonata', carModelYear='2000', carPrice=7347.83}, location=Location{country='Poland', city='Sypniewo'}, date=2020-05-04}
Purchase{id=383, person=Person{firstName='Zed', lastName='Cyson', email='zcysonam@360.cn', ipAddress='46.216.196.77'}, car=Car{color='#fd36f8', carVin='4T1BF3EK6BU192597', carCompany='Hyundai', carModel='Sonata', carModelYear='2002', carPrice=37295.71}, location=Location{country='Poland', city='Pułtusk'}, date=2020-10-18}
Purchase{id=422, person=Person{firstName='Madalena', lastName='Sandall', email='msandallbp@arizona.edu', ipAddress='84.36.173.165'}, car=Car{color='#405af8', carVin='19UUA66276A639006', carCompany='Hyundai', carModel='Sonata', carModelYear='1994', carPrice=71339.39}, location=Location{country='Czech Republic', city='Vrdy'}, date=2020-09-29}
Purchase{id=477, person=Person{firstName='Minerva', lastName='Hinkens', email='mhinkensd8@hud.gov', ipAddress='64.138.94.136'}, car=Car{color='#75631d', carVin='1FMJK1H54BE033876', carCompany='Hyundai', carModel='Tucson', carModelYear='2007', carPrice=96352.61}, location=Location{country='Poland', city='Sosnowiec'}, date=2020-08-07}
Purchase{id=482, person=Person{firstName='Sebastiano', lastName='Pariss', email='sparissdd@bbc.co.uk', ipAddress='73.129.66.235'}, car=Car{color='#6f46ed', carVin='YV1622FS6C2062921', carCompany='Hyundai', carModel='Accent', carModelYear='2006', carPrice=24129.79}, location=Location{country='Czech Republic', city='Týnec'}, date=2020-06-27}
Purchase{id=560, person=Person{firstName='Alejoa', lastName='Poveleye', email='apoveleyefj@discovery.com', ipAddress='165.67.52.40'}, car=Car{color='#ea79fa', carVin='3C4PDDEG9FT460043', carCompany='Hyundai', carModel='Azera', carModelYear='2008', carPrice=11607.56}, location=Location{country='Poland', city='Złoty Stok'}, date=2020-12-02}
