Purchase{id=35, person=Person{firstName='Noll', lastName='Mazzia', email='nmazziay@github.com', ipAddress='186.76.124.140'}, car=Car{color='#704f70', carVin='1G6KD57Y68U623880', carCompany='Infiniti', carModel='Q', carModelYear='1993', carPrice=22305.50}, location=Location{country='Czech Republic', city='Horní Suchá'}, date=2020-12-07}
Purchase{id=111, person=Person{firstName='Blondell', lastName='Lensch', email='blensch32@google.fr', ipAddress='42.63.200.75'}, car=Car{color='#b47c83', carVin='WDDGF4HB4CR544971', carCompany='Infiniti', carModel='FX', carModelYear='2009', carPrice=10297.11}, location=Location{country='Czech Republic', city='Batelov'}, date=2020-02-03}
Purchase{id=228, person=Person{firstName='Ki', lastName='Camerello', email='kcamerello6b@examiner.com', ipAddress='209.124.238.39'}, car=Car{color='#2ab356', carVin='1G4PP5SK7E4298712', carCompany='Infiniti', carModel='G35', carModelYear='2008', carPrice=70158.45}, location=Location{country='Germany', city='Duisburg'}, date=2020-06-20}
Purchase{id=360, person=Person{firstName='Lotti', lastName='Keeton', email='lkeeton9z@comcast.net', ipAddress='8.56.152.152'}, car=Car{color='#750c76', carVin='1FMJU2A58AE068204', carCompany='Infiniti', carModel='G37', carModelYear='2011', carPrice=91197.03}, location=Location{country='Czech Republic', city='Rychnov nad Kněžnou'}, date=2020-12-04}
Purchase{id=411, person=Person{firstName='Hodge', lastName='Vinck', email='hvinckbe@merriam-webster.com', ipAddress='113.254.120.64'}, car=Car{color='#0bba7c', carVin='WBABD53495P424247', carCompany='Infiniti', carModel='G', carModelYear='2000', carPrice=19425.70}, location=Location{country='Poland', city='Rokitno Szlacheckie'}, date=2020-02-15}
Purchase{id=427, person=Person{firstName='Deck', lastName='Ebbers', email='debbersbu@huffingtonpost.com', ipAddress='39.211.228.245'}, car=Car{color='#b2be1c', carVin='WAUAF98E37A175948', carCompany='Infiniti', carModel='G', carModelYear='2012', carPrice=87854.37}, location=Location{country='Poland', city='Łopuszna'}, date=2020-03-07}
Purchase{id=535, person=Person{firstName='Chantalle', lastName='Forcer', email='cforcereu@tmall.com', ipAddress='143.254.62.130'}, car=Car{color='#261776', carVin='JN8AZ2KR5CT188636', carCompany='Infiniti', carModel='I', carModelYear='1996', carPrice=23254.85}, location=Location{country='Czech Republic', city='Březí'}, date=2020-01-27}
Purchase{id=593, person=Person{firstName='Todd', lastName='Spieck', email='tspieckgg@prnewswire.com', ipAddress='26.10.117.78'}, car=Car{color='#95c552', carVin='1G4GG5E39DF428822', carCompany='Infiniti', carModel='FX', carModelYear='2010', carPrice=46100.27}, location=Location{country='Poland', city='Trzciana'}, date=2020-04-05}
Purchase{id=672, person=Person{firstName='Sheri', lastName='Daysh', email='sdayshin@blogtalkradio.com', ipAddress='66.128.182.219'}, car=Car{color='#63936e', carVin='5NMSG3AB1AH609122', carCompany='Infiniti', carModel='J', carModelYear='1993', carPrice=28641.01}, location=Location{country='Czech Republic', city='Březová'}, date=2020-03-03}
Purchase{id=678, person=Person{firstName='Maryanne', lastName='Comoletti', email='mcomolettiit@amazon.de', ipAddress='10.6.113.18'}, car=Car{color='#820fc4', carVin='1GKS1AE06CR916206', carCompany='Infiniti', carModel='QX', carModelYear='2004', carPrice=94251.36}, location=Location{country='Poland', city='Żarki'}, date=2020-06-03}
Purchase{id=777, person=Person{firstName='Hewie', lastName='Gerwood', email='hgerwoodlk@unesco.org', ipAddress='17.71.222.173'}, car=Car{color='#c7d6fd', carVin='JH4CU2F46CC871476', carCompany='Infiniti', carModel='FX', carModelYear='2007', carPrice=36091.78}, location=Location{country='Czech Republic', city='Vlachovice'}, date=2020-10-13}
Purchase{id=806, person=Person{firstName='May', lastName='Meller', email='mmellermd@wix.com', ipAddress='100.14.255.178'}, car=Car{color='#742fee', carVin='WAUWGAFB8BN900085', carCompany='Infiniti', carModel='M', carModelYear='2009', carPrice=2551.07}, location=Location{country='Czech Republic', city='Bohumín'}, date=2020-10-17}
Purchase{id=889, person=Person{firstName='Emyle', lastName='Bemrose', email='ebemroseoo@wsj.com', ipAddress='93.71.228.19'}, car=Car{color='#bf1442', carVin='ML32A3HJ1FH973566', carCompany='Infiniti', carModel='EX', carModelYear='2009', carPrice=1044.88}, location=Location{country='Poland', city='Grębków'}, date=2020-12-04}
Purchase{id=908, person=Person{firstName='Cymbre', lastName='Toplis', email='ctoplisp7@cyberchimps.com', ipAddress='22.93.159.188'}, car=Car{color='#04fd94', carVin='1FTNS1EW9AD001481', carCompany='Infiniti', carModel='M', carModelYear='2006', carPrice=96817.88}, location=Location{country='Poland', city='Nowy Dwór Gdański'}, date=2020-08-29}
