Purchase{id=22, person=Person{firstName='Freddie', lastName='Shutle', email='fshutlel@cnbc.com', ipAddress='165.47.157.209'}, car=Car{color='#f6e9c0', carVin='WAUXD68D62A671941', carCompany='Isuzu', carModel='Rodeo', carModelYear='2002', carPrice=61428.99}, location=Location{country='Czech Republic', city='Zábřeh'}, date=2020-11-24}
Purchase{id=154, person=Person{firstName='Etta', lastName='Ruggs', email='eruggs49@vkontakte.ru', ipAddress='4.6.154.104'}, car=Car{color='#5560ec', carVin='WA1WGAFPXEA898389', carCompany='Isuzu', carModel='Stylus', carModelYear='1992', carPrice=3457.00}, location=Location{country='Poland', city='Łaskarzew'}, date=2020-07-08}
Purchase{id=300, person=Person{firstName='Etty', lastName='Clay', email='eclay8b@guardian.co.uk', ipAddress='167.188.45.254'}, car=Car{color='#43a66e', carVin='WDDHF2EB4DA998120', carCompany='Isuzu', carModel='Trooper', carModelYear='2000', carPrice=53274.70}, location=Location{country='Czech Republic', city='Hřebeč'}, date=2020-07-31}
Purchase{id=405, person=Person{firstName='Junette', lastName='Maxsted', email='jmaxstedb8@fc2.com', ipAddress='229.131.255.191'}, car=Car{color='#9658d5', carVin='VNKJTUD34FA807056', carCompany='Isuzu', carModel='Rodeo', carModelYear='2000', carPrice=91740.06}, location=Location{country='Poland', city='Nysa'}, date=2020-12-23}
Purchase{id=471, person=Person{firstName='Robby', lastName='McLucky', email='rmcluckyd2@microsoft.com', ipAddress='192.171.23.164'}, car=Car{color='#245ca6', carVin='WBAKE3C58CE231977', carCompany='Isuzu', carModel='Trooper', carModelYear='2000', carPrice=82195.68}, location=Location{country='Czech Republic', city='Seč'}, date=2020-03-11}
Purchase{id=481, person=Person{firstName='Isabelita', lastName='Valentinuzzi', email='ivalentinuzzidc@thetimes.co.uk', ipAddress='137.241.119.28'}, car=Car{color='#5fe01a', carVin='3D7LT2ET4BG923007', carCompany='Isuzu', carModel='i-370', carModelYear='2007', carPrice=18055.25}, location=Location{country='Poland', city='Nowa Sól'}, date=2020-04-01}
Purchase{id=640, person=Person{firstName='Laurette', lastName='Kalkofen', email='lkalkofenhr@slate.com', ipAddress='112.215.127.83'}, car=Car{color='#7bd339', carVin='YV140MAM2F1605922', carCompany='Isuzu', carModel='Trooper', carModelYear='2000', carPrice=22890.55}, location=Location{country='Poland', city='Golub-Dobrzyń'}, date=2020-05-20}
Purchase{id=702, person=Person{firstName='Vincents', lastName='Matushevich', email='vmatushevichjh@yahoo.com', ipAddress='94.170.142.179'}, car=Car{color='#69ae6a', carVin='WAUHGAFC6DN122809', carCompany='Isuzu', carModel='Rodeo', carModelYear='2002', carPrice=19340.99}, location=Location{country='Poland', city='Bełsznica'}, date=2020-04-03}
Purchase{id=784, person=Person{firstName='Adiana', lastName='Zorzenoni', email='azorzenonilr@java.com', ipAddress='123.30.26.84'}, car=Car{color='#2580c1', carVin='3FA6P0PU3ER633443', carCompany='Isuzu', carModel='Amigo', carModelYear='2000', carPrice=36303.51}, location=Location{country='Germany', city='Frankfurt am Main'}, date=2020-06-09}
Purchase{id=802, person=Person{firstName='Kathrine', lastName='Kinnier', email='kkinnierm9@japanpost.jp', ipAddress='91.4.199.114'}, car=Car{color='#c94d3a', carVin='5N1AN0NU7EN124743', carCompany='Isuzu', carModel='Hombre Space', carModelYear='1997', carPrice=14300.87}, location=Location{country='Poland', city='Osieczna'}, date=2020-07-21}
Purchase{id=812, person=Person{firstName='Frances', lastName='Oxenden', email='foxendenmj@who.int', ipAddress='198.29.46.43'}, car=Car{color='#49ef46', carVin='5J8TB18279A669328', carCompany='Isuzu', carModel='Ascender', carModelYear='2007', carPrice=3700.19}, location=Location{country='Denmark', city='København'}, date=2020-08-03}
Purchase{id=825, person=Person{firstName='Puff', lastName='Cinavas', email='pcinavasmw@europa.eu', ipAddress='225.143.109.253'}, car=Car{color='#aa4438', carVin='1G6EL12Y42B849158', carCompany='Isuzu', carModel='Rodeo Sport', carModelYear='2002', carPrice=59634.95}, location=Location{country='Germany', city='Leipzig'}, date=2020-09-21}
