Purchase{id=38, person=Person{firstName='Dionisio', lastName='Cornfoot', email='dcornfoot11@ihg.com', ipAddress='237.19.217.54'}, car=Car{color='#8c3079', carVin='1GKS1EEF0ER954156', carCompany='Land Rover', carModel='Range Rover', carModelYear='1994', carPrice=67417.84}, location=Location{country='Czech Republic', city='Přimda'}, date=2020-02-13}
Purchase{id=116, person=Person{firstName='Christiano', lastName='O'Hengerty', email='cohengerty37@narod.ru', ipAddress='210.142.188.139'}, car=Car{color='#c5720f', carVin='1G4GC5ER4CF871894', carCompany='Land Rover', carModel='Range Rover', carModelYear='1991', carPrice=38105.55}, location=Location{country='Czech Republic', city='Černošín'}, date=2020-12-09}
Purchase{id=206, person=Person{firstName='Maynord', lastName='Dunnett', email='mdunnett5p@engadget.com', ipAddress='88.233.225.141'}, car=Car{color='#d52d17', carVin='3VWF17AT0FM576490', carCompany='Land Rover', carModel='Discovery', carModelYear='2000', carPrice=44288.79}, location=Location{country='Poland', city='Piasek'}, date=2020-02-03}
Purchase{id=398, person=Person{firstName='Jerad', lastName='St Ledger', email='jstledgerb1@opera.com', ipAddress='107.225.87.235'}, car=Car{color='#2df7ae', carVin='WBAPL33579A476961', carCompany='Land Rover', carModel='Discovery', carModelYear='2006', carPrice=77609.86}, location=Location{country='Czech Republic', city='Zabrušany'}, date=2020-07-28}
Purchase{id=419, person=Person{firstName='Keeley', lastName='Claydon', email='kclaydonbm@cornell.edu', ipAddress='54.102.184.36'}, car=Car{color='#66c8a6', carVin='KMHCM3AC6BU599179', carCompany='Land Rover', carModel='LR3', carModelYear='2009', carPrice=55622.30}, location=Location{country='Poland', city='Wińsko'}, date=2020-07-31}
Purchase{id=444, person=Person{firstName='Min', lastName='Weymouth', email='mweymouthcb@deviantart.com', ipAddress='117.240.180.207'}, car=Car{color='#117958', carVin='JN8AZ2ND2F9787561', carCompany='Land Rover', carModel='Range Rover', carModelYear='2010', carPrice=25524.36}, location=Location{country='Poland', city='Ryki'}, date=2020-11-16}
Purchase{id=498, person=Person{firstName='Sherie', lastName='Josowitz', email='sjosowitzdt@discovery.com', ipAddress='161.116.0.68'}, car=Car{color='#b8bbfd', carVin='3D7TP2CT4AG957244', carCompany='Land Rover', carModel='Range Rover', carModelYear='2002', carPrice=45686.49}, location=Location{country='Poland', city='Jemielno'}, date=2020-05-30}
Purchase{id=504, person=Person{firstName='Aguistin', lastName='Buttler', email='abuttlerdz@goodreads.com', ipAddress='108.245.192.171'}, car=Car{color='#7be2a4', carVin='3VWJX7AJ7AM028907', carCompany='Land Rover', carModel='Range Rover', carModelYear='1995', carPrice=9743.19}, location=Location{country='Poland', city='Sokolniki'}, date=2020-01-14}
Purchase{id=555, person=Person{firstName='Ikey', lastName='Lufkin', email='ilufkinfe@vk.com', ipAddress='161.245.102.21'}, car=Car{color='#907989', carVin='WAUDL94FX5N216148', carCompany='Land Rover', carModel='Range Rover Sport', carModelYear='2010', carPrice=60212.16}, location=Location{country='Poland', city='Krotoszyn'}, date=2020-02-10}
Purchase{id=878, person=Person{firstName='Glenn', lastName='Austing', email='gaustingod@slashdot.org', ipAddress='12.16.130.125'}, car=Car{color='#3c7b1b', carVin='5UXKU2C57F0190533', carCompany='Land Rover', carModel='Freelander', carModelYear='2011', carPrice=66450.69}, location=Location{country='Poland', city='Cegłów'}, date=2020-09-14}
Purchase{id=916, person=Person{firstName='Mar', lastName='Davinet', email='mdavinetpf@dailymail.co.uk', ipAddress='182.100.88.223'}, car=Car{color='#c30700', carVin='JN1BJ0HP2EM378203', carCompany='Land Rover', carModel='Discovery Series II', carModelYear='2001', carPrice=72459.38}, location=Location{country='Poland', city='Wysoka Strzyżowska'}, date=2020-06-01}
Purchase{id=1000, person=Person{firstName='Norri', lastName='Rothman', email='nrothmanrr@ucla.edu', ipAddress='105.243.149.9'}, car=Car{color='#64e5e8', carVin='3D7LT2ET8AG370800', carCompany='Land Rover', carModel='Range Rover Sport', carModelYear='2007', carPrice=48217.71}, location=Location{country='Poland', city='Przemęt'}, date=2020-07-21}
