Purchase{id=2, person=Person{firstName='Rozalie', lastName='Koles', email='rkoles1@va.gov', ipAddress='163.62.162.110'}, car=Car{color='#9a89e7', carVin='5UXKS4C52F0757166', carCompany='Lexus', carModel='IS F', carModelYear='2009', carPrice=72669.07}, location=Location{country='Poland', city='Kotuń'}, date=2020-07-22}
Purchase{id=196, person=Person{firstName='Farrel', lastName='Housley', email='fhousley5f@fc2.com', ipAddress='164.185.140.49'}, car=Car{color='#00a1c9', carVin='WP0CA2A8XBU992217', carCompany='Lexus', carModel='LS', carModelYear='1991', carPrice=90019.91}, location=Location{country='Czech Republic', city='Jedlová'}, date=2020-03-26}
Purchase{id=207, person=Person{firstName='Brett', lastName='Poulsen', email='bpoulsen5q@wikipedia.org', ipAddress='241.134.75.24'}, car=Car{color='#710a9f', carVin='WAUKG74F66N843818', carCompany='Lexus', carModel='ES', carModelYear='1996', carPrice=75323.10}, location=Location{country='Germany', city='Neuss'}, date=2020-02-08}
Purchase{id=286, person=Person{firstName='Viki', lastName='Lummis', email='vlummis7x@webmd.com', ipAddress='10.88.110.132'}, car=Car{color='#f09885', carVin='2C3CDXCT3DH859198', carCompany='Lexus', carModel='LX', carModelYear='2013', carPrice=61266.53}, location=Location{country='Poland', city='Libiąż'}, date=2020-09-19}
Purchase{id=393, person=Person{firstName='Harald', lastName='Djordjevic', email='hdjordjevicaw@is.gd', ipAddress='230.153.67.67'}, car=Car{color='#f54b25', carVin='JN8AZ2KR3AT723377', carCompany='Lexus', carModel='IS F', carModelYear='2010', carPrice=7464.01}, location=Location{country='Poland', city='Mrzeżyno'}, date=2020-01-25}
Purchase{id=489, person=Person{firstName='Brooke', lastName='Bartlam', email='bbartlamdk@samsung.com', ipAddress='142.25.207.201'}, car=Car{color='#a8aaf8', carVin='4A31K3DT7AE924652', carCompany='Lexus', carModel='IS', carModelYear='2008', carPrice=29762.35}, location=Location{country='Czech Republic', city='Kralupy nad Vltavou'}, date=2020-12-06}
Purchase{id=713, person=Person{firstName='Mac', lastName='Maxsted', email='mmaxstedjs@globo.com', ipAddress='4.229.2.72'}, car=Car{color='#ce85cd', carVin='SCFFDABM9DG129650', carCompany='Lexus', carModel='IS', carModelYear='2007', carPrice=43953.17}, location=Location{country='Poland', city='Dziemiany'}, date=2020-02-20}
Purchase{id=817, person=Person{firstName='Faye', lastName='Jellis', email='fjellismo@tmall.com', ipAddress='16.33.233.143'}, car=Car{color='#421bac', carVin='1G4GD5ED7BF117694', carCompany='Lexus', carModel='LS', carModelYear='1999', carPrice=28444.16}, location=Location{country='Czech Republic', city='Mirotice'}, date=2020-03-01}
Purchase{id=842, person=Person{firstName='Shaylah', lastName='Airey', email='saireynd@yahoo.com', ipAddress='186.137.165.179'}, car=Car{color='#b1b67f', carVin='WVWGU7AN2CE955413', carCompany='Lexus', carModel='SC', carModelYear='2004', carPrice=61697.15}, location=Location{country='Poland', city='Krzeczów'}, date=2020-02-14}
Purchase{id=881, person=Person{firstName='Rochella', lastName='Deverell', email='rdeverellog@google.fr', ipAddress='30.245.34.73'}, car=Car{color='#8e3cae', carVin='WAUML54B83N076720', carCompany='Lexus', carModel='IS-F', carModelYear='2011', carPrice=20327.75}, location=Location{country='Poland', city='Słupno'}, date=2020-09-04}
Purchase{id=882, person=Person{firstName='Tanner', lastName='Courtois', email='tcourtoisoh@ucla.edu', ipAddress='225.119.229.78'}, car=Car{color='#6a96d0', carVin='1D4RE2GGXBC829525', carCompany='Lexus', carModel='SC', carModelYear='2009', carPrice=51389.10}, location=Location{country='Germany', city='Dresden'}, date=2020-09-11}
Purchase{id=980, person=Person{firstName='Brooke', lastName='Stable', email='bstabler7@newyorker.com', ipAddress='225.126.36.32'}, car=Car{color='#a276c8', carVin='TRUWC28N811808207', carCompany='Lexus', carModel='GS', carModelYear='1993', carPrice=68162.34}, location=Location{country='Czech Republic', city='Tvarožná'}, date=2020-06-05}
