Purchase{id=145, person=Person{firstName='Coop', lastName='Gentle', email='cgentle40@deliciousdays.com', ipAddress='223.25.202.25'}, car=Car{color='#c085da', carVin='WAUUL78E16A944097', carCompany='Lincoln', carModel='MKT', carModelYear='2011', carPrice=6444.46}, location=Location{country='Denmark', city='København'}, date=2020-04-14}
Purchase{id=270, person=Person{firstName='Daphene', lastName='Bridge', email='dbridge7h@hhs.gov', ipAddress='66.13.144.195'}, car=Car{color='#08d512', carVin='YV1672MK8D2251270', carCompany='Lincoln', carModel='Town Car', carModelYear='1990', carPrice=96472.28}, location=Location{country='Czech Republic', city='Bavorov'}, date=2020-03-27}
Purchase{id=278, person=Person{firstName='Gloriane', lastName='Schonfelder', email='gschonfelder7p@shinystat.com', ipAddress='46.88.108.64'}, car=Car{color='#0e97fa', carVin='JTJHY7AX3F4021021', carCompany='Lincoln', carModel='Navigator', carModelYear='2007', carPrice=90568.26}, location=Location{country='Poland', city='Spytkowice'}, date=2020-11-29}
Purchase{id=479, person=Person{firstName='Shurwood', lastName='Garland', email='sgarlandda@printfriendly.com', ipAddress='200.62.13.233'}, car=Car{color='#621956', carVin='1GKMCAE37AR373541', carCompany='Lincoln', carModel='Navigator L', carModelYear='2007', carPrice=48521.65}, location=Location{country='Czech Republic', city='Kladruby'}, date=2020-11-22}
Purchase{id=525, person=Person{firstName='Juliann', lastName='Moncarr', email='jmoncarrek@wisc.edu', ipAddress='180.95.43.166'}, car=Car{color='#22225b', carVin='WAU4FAFRXCA959042', carCompany='Lincoln', carModel='Blackwood', carModelYear='2002', carPrice=31306.78}, location=Location{country='Poland', city='Janikowo'}, date=2020-09-05}
Purchase{id=717, person=Person{firstName='Tiebout', lastName='Hadenton', email='thadentonjw@plala.or.jp', ipAddress='82.188.213.139'}, car=Car{color='#c2bf43', carVin='KM8JT3AB0CU252997', carCompany='Lincoln', carModel='Navigator', carModelYear='2008', carPrice=1229.56}, location=Location{country='Germany', city='Berlin'}, date=2020-11-26}
Purchase{id=718, person=Person{firstName='Kellina', lastName='Hanalan', email='khanalanjx@npr.org', ipAddress='86.94.25.150'}, car=Car{color='#b36c62', carVin='WBA3A5C54DJ985706', carCompany='Lincoln', carModel='Navigator', carModelYear='2006', carPrice=14405.46}, location=Location{country='Poland', city='Zabierzów'}, date=2020-09-14}
Purchase{id=813, person=Person{firstName='Sarette', lastName='Lissenden', email='slissendenmk@stumbleupon.com', ipAddress='226.227.121.33'}, car=Car{color='#86312e', carVin='5TDBKRFH1ES664560', carCompany='Lincoln', carModel='Mark VIII', carModelYear='1998', carPrice=53874.79}, location=Location{country='Denmark', city='Frederiksberg'}, date=2020-07-02}
Purchase{id=839, person=Person{firstName='Ode', lastName='Sackett', email='osackettna@abc.net.au', ipAddress='69.217.46.81'}, car=Car{color='#55c009', carVin='WA1CMAFP1EA573111', carCompany='Lincoln', carModel='Town Car', carModelYear='1993', carPrice=74697.14}, location=Location{country='Poland', city='Hyżne'}, date=2020-12-26}
Purchase{id=942, person=Person{firstName='Brandon', lastName='Sclanders', email='bsclandersq5@usda.gov', ipAddress='70.89.156.230'}, car=Car{color='#64bf1a', carVin='WBAVC93558K375551', carCompany='Lincoln', carModel='Continental', carModelYear='1989', carPrice=66092.79}, location=Location{country='Germany', city='München'}, date=2020-06-07}
Purchase{id=996, person=Person{firstName='Quent', lastName='Lillgard', email='qlillgardrn@samsung.com', ipAddress='144.218.189.171'}, car=Car{color='#9b9ca3', carVin='WBAPH7G51BN565510', carCompany='Lincoln', carModel='MKT', carModelYear='2010', carPrice=60519.09}, location=Location{country='Poland', city='Zator'}, date=2020-12-16}
