Purchase{id=5, person=Person{firstName='Gabbi', lastName='Hafner', email='ghafner4@icio.us', ipAddress='8.198.1.190'}, car=Car{color='#0d807c', carVin='WBAFU9C5XDD400069', carCompany='Mazda', carModel='B-Series Plus', carModelYear='2004', carPrice=71988.49}, location=Location{country='Poland', city='Gilowice'}, date=2020-12-26}
Purchase{id=8, person=Person{firstName='Kean', lastName='Corday', email='kcorday7@stanford.edu', ipAddress='153.153.169.51'}, car=Car{color='#9464f8', carVin='WAUDGAFL2CA998863', carCompany='Mazda', carModel='MX-5', carModelYear='1994', carPrice=25332.86}, location=Location{country='Czech Republic', city='Příbram'}, date=2020-01-23}
Purchase{id=40, person=Person{firstName='Dori', lastName='Leroux', email='dleroux13@mysql.com', ipAddress='227.62.73.141'}, car=Car{color='#035e85', carVin='JTHDU1EF6A5223784', carCompany='Mazda', carModel='Mazdaspeed 3', carModelYear='2007', carPrice=43416.68}, location=Location{country='Poland', city='Jonkowo'}, date=2020-11-14}
Purchase{id=58, person=Person{firstName='Binky', lastName='Hendrickson', email='bhendrickson1l@flickr.com', ipAddress='89.4.101.35'}, car=Car{color='#fc75a3', carVin='SAJWA4EB8EL899450', carCompany='Mazda', carModel='CX-7', carModelYear='2010', carPrice=74018.72}, location=Location{country='Poland', city='Płońsk'}, date=2020-02-02}
Purchase{id=120, person=Person{firstName='Carter', lastName='Ayree', email='cayree3b@examiner.com', ipAddress='68.252.134.98'}, car=Car{color='#2d3fe8', carVin='1G4HA5EM8BU593803', carCompany='Mazda', carModel='Mazda2', carModelYear='2012', carPrice=77296.02}, location=Location{country='Poland', city='Wojaszówka'}, date=2020-05-18}
Purchase{id=160, person=Person{firstName='Brigit', lastName='Giannasi', email='bgiannasi4f@youtu.be', ipAddress='203.238.49.210'}, car=Car{color='#2c4d52', carVin='1G4PR5SK9D4589754', carCompany='Mazda', carModel='626', carModelYear='2001', carPrice=34880.98}, location=Location{country='Czech Republic', city='Modřice'}, date=2020-03-05}
Purchase{id=190, person=Person{firstName='Ludwig', lastName='Jovicic', email='ljovicic59@cbslocal.com', ipAddress='134.139.223.47'}, car=Car{color='#c46eb4', carVin='KNAFZ6A35F5226233', carCompany='Mazda', carModel='MX-5', carModelYear='2012', carPrice=29357.94}, location=Location{country='Czech Republic', city='Chyňava'}, date=2020-06-15}
Purchase{id=213, person=Person{firstName='Leoine', lastName='Sowman', email='lsowman5w@independent.co.uk', ipAddress='232.60.68.122'}, car=Car{color='#feb9d8', carVin='WDDJK7DA5EF653122', carCompany='Mazda', carModel='CX-7', carModelYear='2008', carPrice=53087.83}, location=Location{country='Poland', city='Kraków'}, date=2020-01-10}
Purchase{id=229, person=Person{firstName='Carey', lastName='Moland', email='cmoland6c@ucoz.ru', ipAddress='178.112.146.213'}, car=Car{color='#26dbf1', carVin='JTDBT4K35CL411945', carCompany='Mazda', carModel='Millenia', carModelYear='1999', carPrice=22569.04}, location=Location{country='Poland', city='Sośno'}, date=2020-05-04}
Purchase{id=232, person=Person{firstName='Harwell', lastName='Kenwin', email='hkenwin6f@baidu.com', ipAddress='226.119.8.33'}, car=Car{color='#a050d3', carVin='WA1CGAFE0ED941315', carCompany='Mazda', carModel='CX-5', carModelYear='2013', carPrice=56757.95}, location=Location{country='Poland', city='Rokietnica'}, date=2020-04-02}
Purchase{id=271, person=Person{firstName='Morse', lastName='Borg-Bartolo', email='mborgbartolo7i@webmd.com', ipAddress='51.39.204.103'}, car=Car{color='#cc0528', carVin='1G6AM5SX7E0541153', carCompany='Mazda', carModel='Millenia', carModelYear='1996', carPrice=37991.48}, location=Location{country='Denmark', city='Frederiksberg'}, date=2020-09-23}
Purchase{id=284, person=Person{firstName='Alyce', lastName='McGrae', email='amcgrae7v@mediafire.com', ipAddress='225.100.7.23'}, car=Car{color='#157c71', carVin='WAUGFAFC4DN341041', carCompany='Mazda', carModel='CX-7', carModelYear='2009', carPrice=80814.80}, location=Location{country='Czech Republic', city='Lukavec'}, date=2020-03-05}
Purchase{id=297, person=Person{firstName='Aurelea', lastName='Dumbarton', email='adumbarton88@ameblo.jp', ipAddress='242.229.200.222'}, car=Car{color='#cd1c54', carVin='1G6DK8E35D0811587', carCompany='Mazda', carModel='RX-7', carModelYear='1983', carPrice=54789.33}, location=Location{country='Poland', city='Korczew'}, date=2020-12-24}
