Purchase{id=27, person=Person{firstName='Carmen', lastName='Bowen', email='cbowenq@nationalgeographic.com', ipAddress='63.239.51.206'}, car=Car{color='#3fb1cf', carVin='WAUGL98E25A270887', carCompany='Mercedes-Benz', carModel='E-Class', carModelYear='2005', carPrice=59050.98}, location=Location{country='Germany', city='Kassel'}, date=2020-03-14}
Purchase{id=47, person=Person{firstName='Jarrid', lastName='Andreotti', email='jandreotti1a@acquirethisname.com', ipAddress='38.184.194.184'}, car=Car{color='#0ba4ce', carVin='WAUDGAFL5DA732884', carCompany='Mercedes-Benz', carModel='CLS-Class', carModelYear='2011', carPrice=3183.57}, location=Location{country='Poland', city='Drawsko Pomorskie'}, date=2020-01-09}
Purchase{id=50, person=Person{firstName='Sollie', lastName='Palatino', email='spalatino1d@linkedin.com', ipAddress='37.149.119.171'}, car=Car{color='#a8deac', carVin='5GAEV23D39J957670', carCompany='Mercedes-Benz', carModel='SLS AMG', carModelYear='2012', carPrice=6369.83}, location=Location{country='Czech Republic', city='Znojmo'}, date=2020-10-03}
Purchase{id=59, person=Person{firstName='Julieta', lastName='Havock', email='jhavock1m@sohu.com', ipAddress='104.226.28.113'}, car=Car{color='#24f4f5', carVin='WBSDX9C54BE066526', carCompany='Mercedes-Benz', carModel='SL-Class', carModelYear='1984', carPrice=42147.27}, location=Location{country='Poland', city='Sanok'}, date=2020-03-24}
Purchase{id=69, person=Person{firstName='Arley', lastName='Blouet', email='ablouet1w@npr.org', ipAddress='98.161.76.178'}, car=Car{color='#7a8ce0', carVin='WBAEU334X4P114527', carCompany='Mercedes-Benz', carModel='E-Class', carModelYear='1995', carPrice=64393.66}, location=Location{country='Poland', city='Wojnicz'}, date=2020-01-03}
Purchase{id=85, person=Person{firstName='Cosmo', lastName='McOnie', email='cmconie2c@oracle.com', ipAddress='155.69.105.106'}, car=Car{color='#9f9316', carVin='JHMFB4F21CS468704', carCompany='Mercedes-Benz', carModel='SL65 AMG', carModelYear='2006', carPrice=12734.28}, location=Location{country='Czech Republic', city='Heřmanův Městec'}, date=2020-10-25}
Purchase{id=128, person=Person{firstName='Brigida', lastName='Keen', email='bkeen3j@networksolutions.com', ipAddress='217.225.65.146'}, car=Car{color='#e739e1', carVin='4T1BF3EKXBU205285', carCompany='Mercedes-Benz', carModel='G-Class', carModelYear='2005', carPrice=91226.32}, location=Location{country='Poland', city='Piaski'}, date=2020-11-07}
Purchase{id=134, person=Person{firstName='Grace', lastName='Carr', email='gcarr3p@cam.ac.uk', ipAddress='87.222.37.8'}, car=Car{color='#e5c96c', carVin='1C4AJWAG4DL069732', carCompany='Mercedes-Benz', carModel='C-Class', carModelYear='2006', carPrice=24707.10}, location=Location{country='Poland', city='Bałtów'}, date=2020-10-25}
Purchase{id=172, person=Person{firstName='Bride', lastName='Empleton', email='bempleton4r@businessinsider.com', ipAddress='158.253.160.205'}, car=Car{color='#7210c9', carVin='2C3CDXCT7CH704409', carCompany='Mercedes-Benz', carModel='300D', carModelYear='1992', carPrice=17810.02}, location=Location{country='Poland', city='Dąbrowice'}, date=2020-12-09}
Purchase{id=187, person=Person{firstName='Ailey', lastName='Usborn', email='ausborn56@deliciousdays.com', ipAddress='147.164.79.146'}, car=Car{color='#1b8856', carVin='1FTEW1E8XAF520680', carCompany='Mercedes-Benz', carModel='M-Class', carModelYear='2002', carPrice=98107.82}, location=Location{country='Poland', city='Kożuchów'}, date=2020-02-06}
Purchase{id=248, person=Person{firstName='Karmen', lastName='Murrow', email='kmurrow6v@psu.edu', ipAddress='101.103.206.79'}, car=Car{color='#4f8cbf', carVin='5UXFG2C51E0621889', carCompany='Mercedes-Benz', carModel='C-Class', carModelYear='2006', carPrice=32785.51}, location=Location{country='Poland', city='Regimin'}, date=2020-11-14}
Purchase{id=294, person=Person{firstName='Starlin', lastName='Wayvill', email='swayvill85@uol.com.br', ipAddress='49.150.247.241'}, car=Car{color='#7e919e', carVin='4JGDA0EB2FA562733', carCompany='Mercedes-Benz', carModel='SLK-Class', carModelYear='2012', carPrice=45019.57}, location=Location{country='Czech Republic', city='Oldřišov'}, date=2020-09-15}
Purchase{id=338, person=Person{firstName='Jeniece', lastName='Towers', email='jtowers9d@t-online.de', ipAddress='33.140.164.241'}, car=Car{color='#36937c', carVin='1G6AE5SX6D0613116', carCompany='Mercedes-Benz', carModel='CLK-Class', carModelYear='2005', carPrice=93260.59}, location=Location{country='Germany', city='Mainz'}, date=2020-02-13}
Purchase{id=341, person=Person{firstName='Kathy', lastName='Lount', email='klount9g@sakura.ne.jp', ipAddress='71.81.245.90'}, car=Car{color='#b5bdc8', carVin='WAUFFAFL0FA626387', carCompany='Mercedes-Benz', carModel='E-Class', carModelYear='1993', carPrice=42460.73}, location=Location{country='Czech Republic', city='Horka nad Moravou'}, date=2020-12-23}
Purchase{id=356, person=Person{firstName='Kariotta', lastName='Gittens', email='kgittens9v@people.com.cn', ipAddress='1.240.115.76'}, car=Car{color='#d3005a', carVin='4T3BA3BB4DU468000', carCompany='Mercedes-Benz', carModel='R-Class', carModelYear='2011', carPrice=69554.95}, location=Location{country='Poland', city='Stryków'}, date=2020-02-26}
