Purchase{id=98, person=Person{firstName='Elmo', lastName='Bezant', email='ebezant2p@newsvine.com', ipAddress='235.99.242.125'}, car=Car{color='#952399', carVin='1FTMF1CW3AF329339', carCompany='Mercury', carModel='Cougar', carModelYear='1970', carPrice=88700.15}, location=Location{country='Czech Republic', city='Mirošov'}, date=2020-01-04}
Purchase{id=114, person=Person{firstName='Lorenza', lastName='Eley', email='leley35@free.fr', ipAddress='91.212.4.150'}, car=Car{color='#64b9b1', carVin='1G4PP5SK1F4723682', carCompany='Mercury', carModel='Tracer', carModelYear='1991', carPrice=27729.92}, location=Location{country='Poland', city='Dębno'}, date=2020-10-15}
Purchase{id=176, person=Person{firstName='Gay', lastName='Meeking', email='gmeeking4v@wired.com', ipAddress='79.239.0.249'}, car=Car{color='#ee0712', carVin='WAUDF58EX5A224615', carCompany='Mercury', carModel='Cougar', carModelYear='2001', carPrice=84681.86}, location=Location{country='Poland', city='Działoszyce'}, date=2020-04-25}
Purchase{id=188, person=Person{firstName='Hettie', lastName='Swyn', email='hswyn57@engadget.com', ipAddress='189.107.173.220'}, car=Car{color='#43f10e', carVin='WA1YD54B14N438089', carCompany='Mercury', carModel='Mystique', carModelYear='1999', carPrice=94727.98}, location=Location{country='Czech Republic', city='Bohumín'}, date=2020-05-03}
Purchase{id=201, person=Person{firstName='Stillmann', lastName='Grazier', email='sgrazier5k@youtube.com', ipAddress='126.104.250.87'}, car=Car{color='#48fda8', carVin='2T3BF4DV5BW765482', carCompany='Mercury', carModel='Villager', carModelYear='2000', carPrice=64650.99}, location=Location{country='Poland', city='Łobez'}, date=2020-09-04}
Purchase{id=209, person=Person{firstName='Emmalynne', lastName='Arckoll', email='earckoll5s@networksolutions.com', ipAddress='141.212.255.13'}, car=Car{color='#14fc51', carVin='WAUEFAFL2AN732952', carCompany='Mercury', carModel='Grand Marquis', carModelYear='1994', carPrice=55536.92}, location=Location{country='Poland', city='Wyszków'}, date=2020-04-29}
Purchase{id=216, person=Person{firstName='Dunc', lastName='Chrispin', email='dchrispin5z@stanford.edu', ipAddress='243.36.47.188'}, car=Car{color='#1611ef', carVin='WAUCFAFR5FA025161', carCompany='Mercury', carModel='Mountaineer', carModelYear='2008', carPrice=42602.38}, location=Location{country='Czech Republic', city='Hrob'}, date=2020-03-23}
Purchase{id=217, person=Person{firstName='Hardy', lastName='Breslane', email='hbreslane60@kickstarter.com', ipAddress='73.191.94.185'}, car=Car{color='#6f2969', carVin='3GTU1YEJ4DG749044', carCompany='Mercury', carModel='Grand Marquis', carModelYear='1995', carPrice=18317.22}, location=Location{country='Poland', city='Jonkowo'}, date=2020-02-16}
Purchase{id=239, person=Person{firstName='Marla', lastName='Smallcomb', email='msmallcomb6m@edublogs.org', ipAddress='169.130.72.178'}, car=Car{color='#52db8a', carVin='3FAHP0CG8CR001253', carCompany='Mercury', carModel='Grand Marquis', carModelYear='2002', carPrice=16508.63}, location=Location{country='Czech Republic', city='Jablunkov'}, date=2020-12-06}
Purchase{id=311, person=Person{firstName='Ronni', lastName='Nibley', email='rnibley8m@hibu.com', ipAddress='124.9.3.216'}, car=Car{color='#10cae0', carVin='3GYFK62878G443953', carCompany='Mercury', carModel='Milan', carModelYear='2009', carPrice=63884.95}, location=Location{country='Poland', city='Grojec'}, date=2020-01-19}
Purchase{id=315, person=Person{firstName='Hinze', lastName='Gorriessen', email='hgorriessen8q@shutterfly.com', ipAddress='38.156.81.87'}, car=Car{color='#dcba80', carVin='KNAGM4AD9F5600469', carCompany='Mercury', carModel='Villager', carModelYear='2001', carPrice=31679.55}, location=Location{country='Poland', city='Siemianowice Śląskie'}, date=2020-07-29}
Purchase{id=317, person=Person{firstName='Khalil', lastName='Barwack', email='kbarwack8s@lycos.com', ipAddress='116.51.91.210'}, car=Car{color='#b2b7cc', carVin='1GYS4DEF3DR442820', carCompany='Mercury', carModel='Mariner', carModelYear='2005', carPrice=51045.02}, location=Location{country='Czech Republic', city='Nelahozeves'}, date=2020-02-27}
Purchase{id=328, person=Person{firstName='Elnar', lastName='Coltart', email='ecoltart93@nytimes.com', ipAddress='145.206.93.96'}, car=Car{color='#58dff1', carVin='JTEBU5JR2B5223875', carCompany='Mercury', carModel='Mariner', carModelYear='2008', carPrice=26925.61}, location=Location{country='Czech Republic', city='Heřmanův Městec'}, date=2020-10-28}
Purchase{id=342, person=Person{firstName='Alyssa', lastName='Clashe', email='aclashe9h@blinklist.com', ipAddress='230.61.62.9'}, car=Car{color='#8a68e6', carVin='1G6DH5E50D0785012', carCompany='Mercury', carModel='Lynx', carModelYear='1984', carPrice=82170.72}, location=Location{country='Poland', city='Ryglice'}, date=2020-03-06}
Purchase{id=358, person=Person{firstName='Olia', lastName='Callan', email='ocallan9x@infoseek.co.jp', ipAddress='233.216.233.211'}, car=Car{color='#39ef77', carVin='KMHHT6KD9AU835985', carCompany='Mercury', carModel='Mountaineer', carModelYear='2009', carPrice=22855.77}, location=Location{country='Poland', city='Rozwadza'}, date=2020-10-30}
Purchase{id=378, person=Person{firstName='Deidre', lastName='Chazier', email='dchazierah@ustream.tv', ipAddress='136.230.58.76'}, car=Car{color='#3947d1', carVin='WBAAV53491F688562', carCompany='Mercury', carModel='Grand Marquis', carModelYear='1988', carPrice=28802.63}, location=Location{country='Poland', city='Międzyzdroje'}, date=2020-10-16}
