Purchase{id=32, person=Person{firstName='Cello', lastName='Carroll', email='ccarrollv@spotify.com', ipAddress='213.92.152.33'}, car=Car{color='#e24e3a', carVin='JN8AZ1MU6CW935297', carCompany='Mitsubishi', carModel='Truck', carModelYear='1987', carPrice=67651.11}, location=Location{country='Poland', city='Oborniki Śląskie'}, date=2020-05-18}
Purchase{id=66, person=Person{firstName='Clementius', lastName='Naerup', email='cnaerup1t@tuttocitta.it', ipAddress='233.103.63.102'}, car=Car{color='#75bf79', carVin='1GYS4JEF2DR071261', carCompany='Mitsubishi', carModel='3000GT', carModelYear='1995', carPrice=69929.29}, location=Location{country='Czech Republic', city='Krásná Lípa'}, date=2020-01-28}
Purchase{id=80, person=Person{firstName='Chariot', lastName='Kops', email='ckops27@mapquest.com', ipAddress='126.25.65.87'}, car=Car{color='#93601f', carVin='WBAFR1C55BC272071', carCompany='Mitsubishi', carModel='Montero', carModelYear='2001', carPrice=19694.43}, location=Location{country='Poland', city='Ścinawa'}, date=2020-06-06}
Purchase{id=124, person=Person{firstName='Maxine', lastName='Sleath', email='msleath3f@gmpg.org', ipAddress='191.46.219.106'}, car=Car{color='#3424eb', carVin='WA1LGAFE5ED933548', carCompany='Mitsubishi', carModel='Raider', carModelYear='2006', carPrice=67799.88}, location=Location{country='Poland', city='Skoczów'}, date=2020-07-22}
Purchase{id=149, person=Person{firstName='Julee', lastName='Gough', email='jgough44@ebay.co.uk', ipAddress='18.43.22.229'}, car=Car{color='#87aa7a', carVin='5TFBW5F13CX770970', carCompany='Mitsubishi', carModel='Outlander', carModelYear='2012', carPrice=20062.34}, location=Location{country='Poland', city='Wąsosz'}, date=2020-10-14}
Purchase{id=185, person=Person{firstName='Melinde', lastName='Grimsdike', email='mgrimsdike54@about.com', ipAddress='178.79.124.46'}, car=Car{color='#0543fc', carVin='1FTEX1C80AF812466', carCompany='Mitsubishi', carModel='Endeavor', carModelYear='2006', carPrice=91031.36}, location=Location{country='Poland', city='Jawornik Polski'}, date=2020-08-19}
Purchase{id=236, person=Person{firstName='Fidela', lastName='Morot', email='fmorot6j@sphinn.com', ipAddress='182.65.149.159'}, car=Car{color='#033a8d', carVin='JTHKD5BH5E2436995', carCompany='Mitsubishi', carModel='Endeavor', carModelYear='2010', carPrice=13604.86}, location=Location{country='Czech Republic', city='Bohutín'}, date=2020-12-04}
Purchase{id=272, person=Person{firstName='Gregory', lastName='Farmiloe', email='gfarmiloe7j@myspace.com', ipAddress='35.7.201.117'}, car=Car{color='#56b2f6', carVin='1GYEE23A290317227', carCompany='Mitsubishi', carModel='Mirage', carModelYear='1985', carPrice=68946.01}, location=Location{country='Czech Republic', city='Lysice'}, date=2020-02-25}
Purchase{id=277, person=Person{firstName='Burty', lastName='Rowswell', email='browswell7o@aboutads.info', ipAddress='76.225.67.25'}, car=Car{color='#1a1d90', carVin='1GYS4GEF6BR688291', carCompany='Mitsubishi', carModel='Mirage', carModelYear='1989', carPrice=30618.20}, location=Location{country='Poland', city='Golina'}, date=2020-12-15}
Purchase{id=281, person=Person{firstName='Forbes', lastName='Haliburn', email='fhaliburn7s@icq.com', ipAddress='30.109.153.66'}, car=Car{color='#fe6e3c', carVin='WAUVT58E75A797369', carCompany='Mitsubishi', carModel='Montero', carModelYear='2005', carPrice=19069.70}, location=Location{country='Poland', city='Zagórnik'}, date=2020-09-27}
Purchase{id=340, person=Person{firstName='Berny', lastName='Jereatt', email='bjereatt9f@php.net', ipAddress='80.188.172.239'}, car=Car{color='#afda2e', carVin='SCBLF44J39C915414', carCompany='Mitsubishi', carModel='Lancer', carModelYear='2004', carPrice=48645.33}, location=Location{country='Poland', city='Kobylanka'}, date=2020-03-09}
Purchase{id=354, person=Person{firstName='Vi', lastName='Ogilvie', email='vogilvie9t@yandex.ru', ipAddress='83.96.144.114'}, car=Car{color='#1e6d7e', carVin='3VW507AT2FM463610', carCompany='Mitsubishi', carModel='GTO', carModelYear='1999', carPrice=82712.62}, location=Location{country='Poland', city='Przelewice'}, date=2020-09-09}
Purchase{id=442, person=Person{firstName='Damien', lastName='Hingeley', email='dhingeleyc9@tumblr.com', ipAddress='115.218.94.51'}, car=Car{color='#6c64f1', carVin='WAULT58E55A309706', carCompany='Mitsubishi', carModel='Mirage', carModelYear='1990', carPrice=75669.99}, location=Location{country='Poland', city='Jonkowo'}, date=2020-05-09}
Purchase{id=461, person=Person{firstName='Lenora', lastName='Dymick', email='ldymickcs@businesswire.com', ipAddress='162.204.7.157'}, car=Car{color='#0d386e', carVin='1FTSX2B58AE390940', carCompany='Mitsubishi', carModel='Eclipse', carModelYear='2008', carPrice=60875.66}, location=Location{country='Poland', city='Wodzierady'}, date=2020-06-20}
Purchase{id=474, person=Person{firstName='Jack', lastName='Wetherell', email='jwetherelld5@so-net.ne.jp', ipAddress='182.74.238.120'}, car=Car{color='#500e59', carVin='WAU3FAFR3AA975656', carCompany='Mitsubishi', carModel='Truck', carModelYear='1995', carPrice=16530.55}, location=Location{country='Czech Republic', city='Karolinka'}, date=2020-10-23}
Purchase{id=484, person=Person{firstName='Maynard', lastName='Rabson', email='mrabsondf@e-recht24.de', ipAddress='217.148.1.146'}, car=Car{color='#d4d13a', carVin='SCFEBBDL8EG492602', carCompany='Mitsubishi', carModel='Expo', carModelYear='1993', carPrice=44918.65}, location=Location{country='Poland', city='Miasteczko Śląskie'}, date=2020-10-14}
Purchase{id=496, person=Person{firstName='Engracia', lastName='McConigal', email='emcconigaldr@economist.com', ipAddress='192.221.245.52'}, car=Car{color='#3ab50c', carVin='KMHTC6AD1DU270115', carCompany='Mitsubishi', carModel='Lancer Evolution', carModelYear='2005', carPrice=47392.84}, location=Location{country='Germany', city='Berlin'}, date=2020-11-04}
Purchase{id=501, person=Person{firstName='Haven', lastName='Leafe', email='hleafedw@livejournal.com', ipAddress='9.135.206.218'}, car=Car{color='#db5bc9', carVin='WAUBNBFB4AN689797', carCompany='Mitsubishi', carModel='Starion', carModelYear='1987', carPrice=90774.68}, location=Location{country='Poland', city='Oborniki Śląskie'}, date=2020-07-19}
Purchase{id=518, person=Person{firstName='Ronnie', lastName='Reville', email='rrevilleed@e-recht24.de', ipAddress='71.195.74.151'}, car=Car{color='#98fd16', carVin='WAUEH78E17A803568', carCompany='Mitsubishi', carModel='Raider', carModelYear='2006', carPrice=30250.68}, location=Location{country='Czech Republic', city='Uherský Ostroh'}, date=2020-04-27}
Purchase{id=529, person=Person{firstName='Inge', lastName='Gummary', email='igummaryeo@github.com', ipAddress='171.26.33.125'}, car=Car{color='#740f37', carVin='JA32X2HU2BU735127', carCompany='Mitsubishi', carModel='Truck', carModelYear='1996', carPrice=23585.47}, location=Location{country='Czech Republic', city='Dolní Lhota'}, date=2020-05-07}
Purchase{id=532, person=Person{firstName='Graehme', lastName='Trow', email='gtrower@ehow.com', ipAddress='76.126.31.158'}, car=Car{color='#bee854', carVin='1G6DL8ED0B0041804', carCompany='Mitsubishi', carModel='Eclipse', carModelYear='1995', carPrice=12423.75}, location=Location{country='Poland', city='Strzelin'}, date=2020-05-13}
Purchase{id=540, person=Person{firstName='Mignonne', lastName='Duberry', email='mduberryez@cbc.ca', ipAddress='207.251.252.74'}, car=Car{color='#d2bbab', carVin='5N1AA0NCXEN690091', carCompany='Mitsubishi', carModel='Endeavor', carModelYear='2010', carPrice=75776.61}, location=Location{country='Poland', city='Ochla'}, date=2020-04-05}
Purchase{id=578, person=Person{firstName='Bianka', lastName='Dunford', email='bdunfordg1@is.gd', ipAddress='252.215.226.204'}, car=Car{color='#f715db', carVin='WAUKH94F07N082312', carCompany='Mitsubishi', carModel='Mirage', carModelYear='1993', carPrice=23504.15}, location=Location{country='Poland', city='Lubasz'}, date=2020-02-09}
Purchase{id=626, person=Person{firstName='Gale', lastName='Cardon', email='gcardonhd@yolasite.com', ipAddress='150.169.159.29'}, car=Car{color='#48db76', carVin='WAUNF78P76A958955', carCompany='Mitsubishi', carModel='Raider', carModelYear='2008', carPrice=19402.45}, location=Location{country='Poland', city='Tarłów'}, date=2020-07-28}
Purchase{id=629, person=Person{firstName='Elston', lastName='Perrygo', email='eperrygohg@homestead.com', ipAddress='53.191.167.97'}, car=Car{color='#1568a9', carVin='1G6AM5S31F0988575', carCompany='Mitsubishi', carModel='Starion', carModelYear='1984', carPrice=55346.91}, location=Location{country='Poland', city='Widuchowa'}, date=2020-05-01}
Purchase{id=644, person=Person{firstName='Essa', lastName='Pamphilon', email='epamphilonhv@mysql.com', ipAddress='45.140.26.241'}, car=Car{color='#289ccc', carVin='WBACN53481L549243', carCompany='Mitsubishi', carModel='Pajero', carModelYear='2005', carPrice=78651.13}, location=Location{country='Poland', city='Lubasz'}, date=2020-05-10}
Purchase{id=650, person=Person{firstName='Sherm', lastName='Prevett', email='sprevetti1@nature.com', ipAddress='242.155.58.172'}, car=Car{color='#97bc5c', carVin='JN1AJ0HP7AM004952', carCompany='Mitsubishi', carModel='Pajero', carModelYear='1988', carPrice=88876.44}, location=Location{country='Poland', city='Bodzechów'}, date=2020-11-25}
Purchase{id=662, person=Person{firstName='Valentia', lastName='Culkin', email='vculkinid@barnesandnoble.com', ipAddress='186.188.69.253'}, car=Car{color='#edce01', carVin='3D73Y3CL1AG102536', carCompany='Mitsubishi', carModel='Montero Sport', carModelYear='2003', carPrice=10997.24}, location=Location{country='Poland', city='Czerniewice'}, date=2020-11-13}
Purchase{id=687, person=Person{firstName='Nicoli', lastName='Traves', email='ntravesj2@pbs.org', ipAddress='23.11.209.173'}, car=Car{color='#52460c', carVin='3VW507AT9EM432711', carCompany='Mitsubishi', carModel='Pajero', carModelYear='1993', carPrice=87775.12}, location=Location{country='Poland', city='Namysłów'}, date=2020-09-13}
Purchase{id=691, person=Person{firstName='Carling', lastName='Wyke', email='cwykej6@seattletimes.com', ipAddress='170.139.150.129'}, car=Car{color='#50cd80', carVin='WAUKFAFL9DN682154', carCompany='Mitsubishi', carModel='GTO', carModelYear='1995', carPrice=5804.80}, location=Location{country='Poland', city='Żernica'}, date=2020-08-20}
Purchase{id=695, person=Person{firstName='Aleda', lastName='Muirhead', email='amuirheadja@bloomberg.com', ipAddress='35.247.64.104'}, car=Car{color='#b478e4', carVin='KM8JT3AB3DU734364', carCompany='Mitsubishi', carModel='Lancer', carModelYear='2004', carPrice=25092.29}, location=Location{country='Denmark', city='København'}, date=2020-10-14}
