Purchase{id=76, person=Person{firstName='Ben', lastName='Yarwood', email='byarwood23@creativecommons.org', ipAddress='118.169.87.59'}, car=Car{color='#ff6af6', carVin='WBA6B4C59DD511334', carCompany='Nissan', carModel='300ZX', carModelYear='1991', carPrice=12845.04}, location=Location{country='Poland', city='Borzęcin'}, date=2020-10-02}
Purchase{id=82, person=Person{firstName='Carlina', lastName='Sharma', email='csharma29@wsj.com', ipAddress='22.97.208.15'}, car=Car{color='#744ef6', carVin='WAUJT68EX2A966932', carCompany='Nissan', carModel='Altima', carModelYear='2003', carPrice=36066.50}, location=Location{country='Poland', city='Łapanów'}, date=2020-02-16}
Purchase{id=106, person=Person{firstName='Chelsey', lastName='Kreuzer', email='ckreuzer2x@lycos.com', ipAddress='230.41.160.252'}, car=Car{color='#f22c72', carVin='WVGEF9BP4FD544582', carCompany='Nissan', carModel='Titan', carModelYear='2012', carPrice=18572.45}, location=Location{country='Czech Republic', city='Čáslav'}, date=2020-04-07}
Purchase{id=122, person=Person{firstName='Enos', lastName='Kimmons', email='ekimmons3d@netscape.com', ipAddress='97.146.236.243'}, car=Car{color='#80f590', carVin='WDDHF5KB9EA860967', carCompany='Nissan', carModel='Sentra', carModelYear='2002', carPrice=9821.53}, location=Location{country='Germany', city='Erfurt'}, date=2020-06-17}
Purchase{id=133, person=Person{firstName='Mauricio', lastName='Berzin', email='mberzin3o@wired.com', ipAddress='208.131.181.172'}, car=Car{color='#3fa88c', carVin='WAUUL78E48A965531', carCompany='Nissan', carModel='Cube', carModelYear='2012', carPrice=53525.58}, location=Location{country='Germany', city='Chemnitz'}, date=2020-03-02}
Purchase{id=146, person=Person{firstName='Penny', lastName='Litzmann', email='plitzmann41@mapy.cz', ipAddress='8.218.144.184'}, car=Car{color='#16d952', carVin='WAUDFAFL3AA370858', carCompany='Nissan', carModel='Armada', carModelYear='2008', carPrice=89173.53}, location=Location{country='Poland', city='Stoszowice'}, date=2020-10-02}
Purchase{id=159, person=Person{firstName='Kata', lastName='de Glanville', email='kdeglanville4e@jalbum.net', ipAddress='217.141.29.71'}, car=Car{color='#68a98f', carVin='1GTC5LF9XC8889885', carCompany='Nissan', carModel='Rogue', carModelYear='2010', carPrice=45315.63}, location=Location{country='Denmark', city='København'}, date=2020-08-17}
Purchase{id=198, person=Person{firstName='Deeann', lastName='Hruska', email='dhruska5h@epa.gov', ipAddress='3.15.40.200'}, car=Car{color='#7887f1', carVin='2C3CDYBT0EH160216', carCompany='Nissan', carModel='Sentra', carModelYear='2009', carPrice=5011.93}, location=Location{country='Poland', city='Strachówka'}, date=2020-03-10}
Purchase{id=219, person=Person{firstName='Julita', lastName='Davydochkin', email='jdavydochkin62@cnn.com', ipAddress='94.8.177.218'}, car=Car{color='#cea04a', carVin='WDDHF0EB5EB909249', carCompany='Nissan', carModel='Sentra', carModelYear='2005', carPrice=80813.75}, location=Location{country='Germany', city='Leipzig'}, date=2020-12-29}
Purchase{id=246, person=Person{firstName='Emyle', lastName='Tathacott', email='etathacott6t@studiopress.com', ipAddress='90.189.143.41'}, car=Car{color='#8aa2ef', carVin='WAUKFAFL2DA494969', carCompany='Nissan', carModel='Maxima', carModelYear='2000', carPrice=49132.44}, location=Location{country='Poland', city='Markowa'}, date=2020-10-10}
Purchase{id=290, person=Person{firstName='Yule', lastName='Woodier', email='ywoodier81@gizmodo.com', ipAddress='181.230.26.68'}, car=Car{color='#e71412', carVin='WDDLJ6FB1FA422065', carCompany='Nissan', carModel='Versa', carModelYear='2009', carPrice=91895.71}, location=Location{country='Poland', city='Bieliny'}, date=2020-07-13}
Purchase{id=396, person=Person{firstName='Mic', lastName='Musker', email='mmuskeraz@friendfeed.com', ipAddress='251.130.189.20'}, car=Car{color='#1edf4b', carVin='4T1BD1FK6CU327572', carCompany='Nissan', carModel='Quest', carModelYear='1997', carPrice=14566.11}, location=Location{country='Poland', city='Dolsk'}, date=2020-11-27}
Purchase{id=416, person=Person{firstName='Jennette', lastName='Agnew', email='jagnewbj@epa.gov', ipAddress='241.201.207.109'}, car=Car{color='#10b773', carVin='1N6BF0KX3FN272455', carCompany='Nissan', carModel='Pathfinder', carModelYear='1998', carPrice=82779.06}, location=Location{country='Czech Republic', city='Hostavice'}, date=2020-12-16}
Purchase{id=418, person=Person{firstName='Silvan', lastName='Gearing', email='sgearingbl@desdev.cn', ipAddress='142.115.61.196'}, car=Car{color='#deee1b', carVin='WDDEJ7GB4AA134398', carCompany='Nissan', carModel='Altima', carModelYear='1996', carPrice=21401.25}, location=Location{country='Poland', city='Raciąż'}, date=2020-11-27}
Purchase{id=505, person=Person{firstName='Raddy', lastName='Gerrelt', email='rgerrelte0@addtoany.com', ipAddress='109.175.0.64'}, car=Car{color='#96317d', carVin='WBA1F5C56FV607357', carCompany='Nissan', carModel='Xterra', carModelYear='2002', carPrice=83887.99}, location=Location{country='Poland', city='Działdowo'}, date=2020-07-06}
Purchase{id=538, person=Person{firstName='Jereme', lastName='Heyward', email='jheywardex@hao123.com', ipAddress='200.177.128.150'}, car=Car{color='#8378c9', carVin='3G5DA03L57S121587', carCompany='Nissan', carModel='Altima', carModelYear='2002', carPrice=97208.51}, location=Location{country='Czech Republic', city='Dolní Studénky'}, date=2020-05-02}
Purchase{id=541, person=Person{firstName='Deborah', lastName='Chessun', email='dchessunf0@shinystat.com', ipAddress='68.208.158.151'}, car=Car{color='#8f9dba', carVin='1G4HC5EM3BU002416', carCompany='Nissan', carModel='Datsun/Nissan Z-car', carModelYear='1990', carPrice=65142.23}, location=Location{country='Poland', city='Psary'}, date=2020-05-27}
