Purchase{id=241, person=Person{firstName='Jayson', lastName='Brodie', email='jbrodie6o@theguardian.com', ipAddress='199.255.176.103'}, car=Car{color='#1991a7', carVin='2FMGK5B81DB281456', carCompany='Oldsmobile', carModel='Cutlass Supreme', carModelYear='1993', carPrice=40700.58}, location=Location{country='Poland', city='Targanice'}, date=2020-05-27}
Purchase{id=291, person=Person{firstName='Marta', lastName='Lushey', email='mlushey82@msn.com', ipAddress='249.144.185.35'}, car=Car{color='#a24ff9', carVin='SCBGU3ZA6DC852294', carCompany='Oldsmobile', carModel='Alero', carModelYear='2003', carPrice=19600.82}, location=Location{country='Poland', city='Czarna Białostocka'}, date=2020-02-26}
Purchase{id=339, person=Person{firstName='Salomi', lastName='Hatterslay', email='shatterslay9e@wp.com', ipAddress='220.101.47.247'}, car=Car{color='#283f29', carVin='JN1AJ0HP3CM621686', carCompany='Oldsmobile', carModel='Intrigue', carModelYear='2002', carPrice=44180.49}, location=Location{country='Poland', city='Kościelec'}, date=2020-10-21}
Purchase{id=445, person=Person{firstName='Mandy', lastName='Vockins', email='mvockinscc@accuweather.com', ipAddress='191.72.51.194'}, car=Car{color='#2bbe8a', carVin='WAUYP54B51N511003', carCompany='Oldsmobile', carModel='Silhouette', carModelYear='1999', carPrice=13640.67}, location=Location{country='Czech Republic', city='Staré Město'}, date=2020-11-27}
Purchase{id=486, person=Person{firstName='Zara', lastName='Laboune', email='zlabounedh@163.com', ipAddress='11.32.103.49'}, car=Car{color='#b7a3f2', carVin='YV4940BZ4E1396231', carCompany='Oldsmobile', carModel='Silhouette', carModelYear='1994', carPrice=31020.67}, location=Location{country='Czech Republic', city='Horní Bečva'}, date=2020-06-29}
Purchase{id=577, person=Person{firstName='Donn', lastName='Mayall', email='dmayallg0@youtu.be', ipAddress='184.114.66.129'}, car=Car{color='#3b59b0', carVin='WVWED7AJ0BW841410', carCompany='Oldsmobile', carModel='Silhouette', carModelYear='1992', carPrice=41257.28}, location=Location{country='Germany', city='Berlin'}, date=2020-04-27}
Purchase{id=619, person=Person{firstName='Salomo', lastName='Bolan', email='sbolanh6@businessweek.com', ipAddress='61.146.197.221'}, car=Car{color='#ecb418', carVin='3MZBM1L76EM215606', carCompany='Oldsmobile', carModel='Achieva', carModelYear='1995', carPrice=28345.66}, location=Location{country='Poland', city='Szczawnica'}, date=2020-05-18}
Purchase{id=654, person=Person{firstName='Tobye', lastName='Coleman', email='tcolemani5@reverbnation.com', ipAddress='124.250.73.38'}, car=Car{color='#fed5af', carVin='YV140MEA1F1071148', carCompany='Oldsmobile', carModel='Intrigue', carModelYear='2000', carPrice=60617.56}, location=Location{country='Czech Republic', city='Toužim'}, date=2020-12-23}
Purchase{id=766, person=Person{firstName='Ashlin', lastName='Nagle', email='anaglel9@facebook.com', ipAddress='15.150.23.198'}, car=Car{color='#d03493', carVin='JH4DC53053C259280', carCompany='Oldsmobile', carModel='Bravada', carModelYear='1997', carPrice=99984.84}, location=Location{country='Poland', city='Osielsko'}, date=2020-02-29}
Purchase{id=787, person=Person{firstName='Willamina', lastName='Heintze', email='wheintzelu@newsvine.com', ipAddress='53.240.147.7'}, car=Car{color='#21d18c', carVin='WBASP4C56AC472252', carCompany='Oldsmobile', carModel='Achieva', carModelYear='1995', carPrice=27473.11}, location=Location{country='Poland', city='Śniadowo'}, date=2020-11-08}
Purchase{id=798, person=Person{firstName='Karlis', lastName='Pryor', email='kpryorm5@seesaa.net', ipAddress='144.142.151.229'}, car=Car{color='#0f8702', carVin='1FMJK1H59BE663960', carCompany='Oldsmobile', carModel='Cutlass Supreme', carModelYear='1997', carPrice=91265.88}, location=Location{country='Poland', city='Sokółka'}, date=2020-07-14}
Purchase{id=934, person=Person{firstName='Golda', lastName='Studdal', email='gstuddalpx@epa.gov', ipAddress='109.155.157.193'}, car=Car{color='#9ccbb2', carVin='3C4PDDGGXFT647756', carCompany='Oldsmobile', carModel='Intrigue', carModelYear='1998', carPrice=18210.02}, location=Location{country='Poland', city='Lipiany'}, date=2020-03-26}
