Purchase{id=29, person=Person{firstName='Sacha', lastName='Lamport', email='slamports@psu.edu', ipAddress='134.108.190.141'}, car=Car{color='#cc8cd1', carVin='YV1952AS8D1054810', carCompany='Pontiac', carModel='Solstice', carModelYear='2006', carPrice=20647.67}, location=Location{country='Czech Republic', city='Vidče'}, date=2020-05-14}
Purchase{id=45, person=Person{firstName='Ilene', lastName='Langran', email='ilangran18@ft.com', ipAddress='77.127.130.137'}, car=Car{color='#f1013b', carVin='5GAER13718J360654', carCompany='Pontiac', carModel='G6', carModelYear='2006', carPrice=94006.99}, location=Location{country='Poland', city='Łękawica'}, date=2020-08-23}
Purchase{id=65, person=Person{firstName='Phoebe', lastName='Hartford', email='phartford1s@unc.edu', ipAddress='112.201.154.129'}, car=Car{color='#8c0d54', carVin='2HNYD2H28CH766206', carCompany='Pontiac', carModel='Sunbird', carModelYear='1986', carPrice=45933.12}, location=Location{country='Czech Republic', city='Mohelnice'}, date=2020-12-18}
Purchase{id=100, person=Person{firstName='Nicolea', lastName='Dench', email='ndench2r@hatena.ne.jp', ipAddress='220.122.165.85'}, car=Car{color='#555d0f', carVin='JN8AZ2KR7DT737349', carCompany='Pontiac', carModel='Grand Prix', carModelYear='1990', carPrice=31841.04}, location=Location{country='Poland', city='Górzno'}, date=2020-11-27}
Purchase{id=108, person=Person{firstName='Bell', lastName='Pacitti', email='bpacitti2z@europa.eu', ipAddress='146.21.20.84'}, car=Car{color='#d0460c', carVin='3VW8S7AT9FM161500', carCompany='Pontiac', carModel='Grand Prix', carModelYear='1999', carPrice=94817.43}, location=Location{country='Germany', city='Hamburg'}, date=2020-10-09}
Purchase{id=142, person=Person{firstName='Rayshell', lastName='Seward', email='rseward3x@1688.com', ipAddress='253.230.99.34'}, car=Car{color='#af5ca3', carVin='1FTEW1CM8EF791159', carCompany='Pontiac', carModel='6000', carModelYear='1988', carPrice=5256.21}, location=Location{country='Poland', city='Kaliska'}, date=2020-04-26}
Purchase{id=158, person=Person{firstName='Germain', lastName='Burgott', email='gburgott4d@e-recht24.de', ipAddress='106.147.254.11'}, car=Car{color='#7c4f2f', carVin='1G6DH8E57D0261969', carCompany='Pontiac', carModel='Grand Prix', carModelYear='2001', carPrice=36634.65}, location=Location{country='Czech Republic', city='Jablonec nad Jizerou'}, date=2020-07-11}
Purchase{id=175, person=Person{firstName='Kyla', lastName='Aymes', email='kaymes4u@deviantart.com', ipAddress='178.29.93.211'}, car=Car{color='#b67167', carVin='1G6DK8E34D0341830', carCompany='Pontiac', carModel='Bonneville', carModelYear='1967', carPrice=5965.18}, location=Location{country='Czech Republic', city='Vlkoš'}, date=2020-08-13}
Purchase{id=211, person=Person{firstName='Lazare', lastName='Wombwell', email='lwombwell5u@archive.org', ipAddress='150.147.244.111'}, car=Car{color='#beaaba', carVin='3D7JV1EP8AG307355', carCompany='Pontiac', carModel='Daewoo Kalos', carModelYear='2006', carPrice=87202.11}, location=Location{country='Poland', city='Bodzechów'}, date=2020-09-07}
Purchase{id=234, person=Person{firstName='Forrest', lastName='Everill', email='feverill6h@toplist.cz', ipAddress='99.117.218.57'}, car=Car{color='#e169a3', carVin='YV126MFC8F1264760', carCompany='Pontiac', carModel='Sunbird', carModelYear='1986', carPrice=73973.16}, location=Location{country='Czech Republic', city='Drásov'}, date=2020-04-27}
Purchase{id=276, person=Person{firstName='Lambert', lastName='Aughtie', email='laughtie7n@theglobeandmail.com', ipAddress='160.2.55.235'}, car=Car{color='#c6448a', carVin='WBALZ3C58CC247701', carCompany='Pontiac', carModel='1000', carModelYear='1984', carPrice=84056.46}, location=Location{country='Poland', city='Kurzętnik'}, date=2020-04-07}
Purchase{id=306, person=Person{firstName='Corey', lastName='Bulcock', email='cbulcock8h@i2i.jp', ipAddress='83.150.58.81'}, car=Car{color='#d37434', carVin='WA1YD64B05N188948', carCompany='Pontiac', carModel='Bonneville', carModelYear='1964', carPrice=73227.73}, location=Location{country='Poland', city='Sośnie'}, date=2020-06-26}
