Purchase{id=164, person=Person{firstName='Hettie', lastName='Grills', email='hgrills4j@businessinsider.com', ipAddress='217.28.65.68'}, car=Car{color='#ad07b6', carVin='1C3BCBFG1CN358350', carCompany='Porsche', carModel='924 S', carModelYear='1987', carPrice=96664.65}, location=Location{country='Poland', city='Paradyż'}, date=2020-12-16}
Purchase{id=171, person=Person{firstName='Chelsae', lastName='Flather', email='cflather4q@merriam-webster.com', ipAddress='50.80.35.155'}, car=Car{color='#0ebf5e', carVin='1GKS2GEJ8CR620290', carCompany='Porsche', carModel='911', carModelYear='2012', carPrice=15405.22}, location=Location{country='Czech Republic', city='Višňové'}, date=2020-12-04}
Purchase{id=258, person=Person{firstName='Twyla', lastName='Dougary', email='tdougary75@mapquest.com', ipAddress='148.74.195.8'}, car=Car{color='#069a71', carVin='ZFBCFABH5FZ754958', carCompany='Porsche', carModel='911', carModelYear='2013', carPrice=89132.44}, location=Location{country='Poland', city='Malanów'}, date=2020-01-25}
Purchase{id=572, person=Person{firstName='Antonius', lastName='Whibley', email='awhibleyfv@about.com', ipAddress='133.222.186.221'}, car=Car{color='#b02d9c', carVin='JN1AY1AP4BM053118', carCompany='Porsche', carModel='Boxster', carModelYear='1998', carPrice=59274.97}, location=Location{country='Poland', city='Jednorożec'}, date=2020-10-15}
Purchase{id=599, person=Person{firstName='Kippy', lastName='Schermick', email='kschermickgm@paypal.com', ipAddress='106.225.188.88'}, car=Car{color='#55569e', carVin='WAUVC58E03A629585', carCompany='Porsche', carModel='Cayenne', carModelYear='2011', carPrice=99706.01}, location=Location{country='Czech Republic', city='Trmice'}, date=2020-08-23}
Purchase{id=696, person=Person{firstName='Solomon', lastName='Haitlie', email='shaitliejb@51.la', ipAddress='84.126.18.51'}, car=Car{color='#f8a602', carVin='1D7RV1CP3BS521993', carCompany='Porsche', carModel='911', carModelYear='1999', carPrice=32261.25}, location=Location{country='Czech Republic', city='Cheb'}, date=2020-09-24}
Purchase{id=786, person=Person{firstName='Gabbie', lastName='Swidenbank', email='gswidenbanklt@deviantart.com', ipAddress='7.91.176.191'}, car=Car{color='#cced5e', carVin='2G4WD582871982579', carCompany='Porsche', carModel='911', carModelYear='2012', carPrice=96690.50}, location=Location{country='Poland', city='Żółkiewka'}, date=2020-11-23}
Purchase{id=822, person=Person{firstName='Lane', lastName='Bewlie', email='lbewliemt@a8.net', ipAddress='42.92.90.156'}, car=Car{color='#27f800', carVin='WBALY1C57ED761088', carCompany='Porsche', carModel='Boxster', carModelYear='2001', carPrice=53675.87}, location=Location{country='Poland', city='Kamieniec'}, date=2020-10-04}
Purchase{id=851, person=Person{firstName='Susan', lastName='Labbet', email='slabbetnm@e-recht24.de', ipAddress='144.230.120.154'}, car=Car{color='#b5b151', carVin='5TDDW5G19FS981723', carCompany='Porsche', carModel='911', carModelYear='1988', carPrice=42587.96}, location=Location{country='Poland', city='Polanka Wielka'}, date=2020-11-05}
Purchase{id=892, person=Person{firstName='Aldin', lastName='Rosengart', email='arosengartor@bandcamp.com', ipAddress='194.220.244.32'}, car=Car{color='#1a6ccd', carVin='JN1AZ4EH8BM271032', carCompany='Porsche', carModel='911', carModelYear='1997', carPrice=24654.89}, location=Location{country='Poland', city='Warlubie'}, date=2020-09-23}
Purchase{id=896, person=Person{firstName='Kevon', lastName='Gobbet', email='kgobbetov@toplist.cz', ipAddress='129.176.192.187'}, car=Car{color='#f6a6dc', carVin='WAUGFAFR3EA966186', carCompany='Porsche', carModel='Cayenne', carModelYear='2010', carPrice=22476.31}, location=Location{country='Poland', city='Reda'}, date=2020-03-13}
Purchase{id=949, person=Person{firstName='Christal', lastName='Beardsdale', email='cbeardsdaleqc@moonfruit.com', ipAddress='217.219.117.226'}, car=Car{color='#3c8f14', carVin='1N6AA0EK2FN082804', carCompany='Porsche', carModel='911', carModelYear='1989', carPrice=89243.32}, location=Location{country='Poland', city='Łobez'}, date=2020-07-05}
