Purchase{id=95, person=Person{firstName='Horten', lastName='Crimmins', email='hcrimmins2m@last.fm', ipAddress='151.59.157.184'}, car=Car{color='#948555', carVin='1FTWW3DY6AE591446', carCompany='Saab', carModel='9-7X', carModelYear='2009', carPrice=48257.80}, location=Location{country='Czech Republic', city='Jevíčko'}, date=2020-12-16}
Purchase{id=255, person=Person{firstName='Derrek', lastName='Boggas', email='dboggas72@imageshack.us', ipAddress='162.222.114.91'}, car=Car{color='#794309', carVin='1FTMF1EW5AK588063', carCompany='Saab', carModel='9000', carModelYear='1997', carPrice=41963.43}, location=Location{country='Poland', city='Tyrawa Wołoska'}, date=2020-03-30}
Purchase{id=266, person=Person{firstName='Emmy', lastName='Van den Velden', email='evandenvelden7d@yelp.com', ipAddress='24.255.196.23'}, car=Car{color='#fb673f', carVin='SCFFDAAEXCG289495', carCompany='Saab', carModel='9-5', carModelYear='2011', carPrice=84764.56}, location=Location{country='Poland', city='Trzcinica'}, date=2020-03-22}
Purchase{id=268, person=Person{firstName='Nevin', lastName='Lafond', email='nlafond7f@youtu.be', ipAddress='243.13.113.179'}, car=Car{color='#8cb5aa', carVin='1N6AA0CC2BN331740', carCompany='Saab', carModel='9000', carModelYear='1986', carPrice=71315.68}, location=Location{country='Poland', city='Kiernozia'}, date=2020-05-08}
Purchase{id=321, person=Person{firstName='Adara', lastName='Raincin', email='araincin8w@e-recht24.de', ipAddress='126.118.35.206'}, car=Car{color='#369cbb', carVin='WAUED64B91N174322', carCompany='Saab', carModel='9-5', carModelYear='2011', carPrice=9799.03}, location=Location{country='Poland', city='Trzciana'}, date=2020-04-20}
Purchase{id=537, person=Person{firstName='Elisha', lastName='Turfs', email='eturfsew@simplemachines.org', ipAddress='251.19.103.243'}, car=Car{color='#233fe5', carVin='WBS3R9C57FK068901', carCompany='Saab', carModel='900', carModelYear='1988', carPrice=4098.13}, location=Location{country='Czech Republic', city='Milevsko'}, date=2020-06-26}
Purchase{id=568, person=Person{firstName='Jeannette', lastName='Crone', email='jcronefr@netvibes.com', ipAddress='102.34.4.226'}, car=Car{color='#0946c6', carVin='JN8AZ2KR4DT722324', carCompany='Saab', carModel='9-5', carModelYear='2006', carPrice=81185.71}, location=Location{country='Poland', city='Ojrzeń'}, date=2020-06-17}
Purchase{id=711, person=Person{firstName='Rebeka', lastName='Swyne', email='rswynejq@liveinternet.ru', ipAddress='40.135.199.195'}, car=Car{color='#832b60', carVin='1FTEW1CF4FF633985', carCompany='Saab', carModel='9-7X', carModelYear='2008', carPrice=62681.36}, location=Location{country='Poland', city='Górzno'}, date=2020-08-27}
Purchase{id=768, person=Person{firstName='Zitella', lastName='Twinberrow', email='ztwinberrowlb@naver.com', ipAddress='248.43.124.23'}, car=Car{color='#b9615b', carVin='SALVN2BG5FH918505', carCompany='Saab', carModel='9-7X', carModelYear='2009', carPrice=47600.13}, location=Location{country='Poland', city='Łąck'}, date=2020-12-14}
Purchase{id=832, person=Person{firstName='Howie', lastName='McCallum', email='hmccallumn3@ezinearticles.com', ipAddress='98.20.6.21'}, car=Car{color='#fe52c6', carVin='3VW467AT2CM735157', carCompany='Saab', carModel='900', carModelYear='1996', carPrice=94045.61}, location=Location{country='Czech Republic', city='Hostomice'}, date=2020-04-11}
Purchase{id=855, person=Person{firstName='Janean', lastName='Clowney', email='jclowneynq@prnewswire.com', ipAddress='27.15.19.28'}, car=Car{color='#4c2930', carVin='1N4AB7AP5EN975371', carCompany='Saab', carModel='9-5', carModelYear='1999', carPrice=49651.80}, location=Location{country='Denmark', city='København'}, date=2020-07-26}
Purchase{id=871, person=Person{firstName='Raven', lastName='Sanchis', email='rsanchiso6@spiegel.de', ipAddress='94.67.187.203'}, car=Car{color='#1fff46', carVin='WA1AGBFE2CD361929', carCompany='Saab', carModel='9-3', carModelYear='2011', carPrice=35561.43}, location=Location{country='Poland', city='Chełmża'}, date=2020-05-26}
Purchase{id=986, person=Person{firstName='Tedda', lastName='Haslock', email='thaslockrd@linkedin.com', ipAddress='67.222.96.231'}, car=Car{color='#5ccd43', carVin='1G6YV34A355997078', carCompany='Saab', carModel='9000', carModelYear='1994', carPrice=49014.60}, location=Location{country='Poland', city='Łękawica'}, date=2020-06-06}
