Purchase{id=73, person=Person{firstName='Shaylyn', lastName='Jupe', email='sjupe20@yellowbook.com', ipAddress='218.135.112.193'}, car=Car{color='#9e9218', carVin='WAUKF98E57A836352', carCompany='Subaru', carModel='Forester', carModelYear='2012', carPrice=72205.00}, location=Location{country='Poland', city='Żurowa'}, date=2020-05-29}
Purchase{id=78, person=Person{firstName='Albie', lastName='Fleischer', email='afleischer25@1688.com', ipAddress='219.54.5.86'}, car=Car{color='#2019ca', carVin='4A4AP3AU8DE558800', carCompany='Subaru', carModel='Legacy', carModelYear='2005', carPrice=84470.36}, location=Location{country='Czech Republic', city='Veltruby'}, date=2020-01-11}
Purchase{id=144, person=Person{firstName='Helaina', lastName='Ricarde', email='hricarde3z@diigo.com', ipAddress='10.103.101.175'}, car=Car{color='#98f6de', carVin='KNADH4A35B6864470', carCompany='Subaru', carModel='Leone', carModelYear='1989', carPrice=61810.51}, location=Location{country='Poland', city='Rusocice'}, date=2020-11-20}
Purchase{id=231, person=Person{firstName='Marchall', lastName='Goldsberry', email='mgoldsberry6e@clickbank.net', ipAddress='153.35.46.255'}, car=Car{color='#c13843', carVin='1GKS1HE00DR398104', carCompany='Subaru', carModel='Justy', carModelYear='1990', carPrice=82502.60}, location=Location{country='Poland', city='Paprotnia'}, date=2020-06-23}
Purchase{id=254, person=Person{firstName='Chrisy', lastName='Puffett', email='cpuffett71@arstechnica.com', ipAddress='251.34.85.23'}, car=Car{color='#1a0157', carVin='1N6AA0EC6DN489739', carCompany='Subaru', carModel='Legacy', carModelYear='2004', carPrice=84340.16}, location=Location{country='Poland', city='Świeradów-Zdrój'}, date=2020-03-18}
Purchase{id=287, person=Person{firstName='Granville', lastName='Deniske', email='gdeniske7y@google.de', ipAddress='131.148.14.80'}, car=Car{color='#6e9c71', carVin='SCFFBCCD9BG210130', carCompany='Subaru', carModel='SVX', carModelYear='1997', carPrice=96360.87}, location=Location{country='Czech Republic', city='Horní Jiřetín'}, date=2020-07-22}
Purchase{id=318, person=Person{firstName='Bendix', lastName='De Morena', email='bdemorena8t@deviantart.com', ipAddress='190.2.24.213'}, car=Car{color='#90e00e', carVin='WBSPM93579E089279', carCompany='Subaru', carModel='Tribeca', carModelYear='2008', carPrice=51935.34}, location=Location{country='Poland', city='Zator'}, date=2020-04-04}
Purchase{id=497, person=Person{firstName='Jecho', lastName='Booth', email='jboothds@boston.com', ipAddress='170.86.23.130'}, car=Car{color='#55515e', carVin='1FM5K7B84FG098521', carCompany='Subaru', carModel='Justy', carModelYear='1993', carPrice=15384.23}, location=Location{country='Poland', city='Twardawa'}, date=2020-01-14}
Purchase{id=547, person=Person{firstName='Aguste', lastName='Peagram', email='apeagramf6@lycos.com', ipAddress='10.160.170.234'}, car=Car{color='#935b01', carVin='1GYS4FEJ4DR413164', carCompany='Subaru', carModel='Outback', carModelYear='2003', carPrice=37162.04}, location=Location{country='Poland', city='Bałtów'}, date=2020-05-24}
Purchase{id=549, person=Person{firstName='Craig', lastName='Hulbert', email='chulbertf8@macromedia.com', ipAddress='164.161.88.123'}, car=Car{color='#cfc789', carVin='WAUMGBFL9DA137767', carCompany='Subaru', carModel='Loyale', carModelYear='1992', carPrice=43850.02}, location=Location{country='Poland', city='Klwów'}, date=2020-05-15}
Purchase{id=561, person=Person{firstName='Vida', lastName='Edmondson', email='vedmondsonfk@rediff.com', ipAddress='35.83.237.87'}, car=Car{color='#3265ac', carVin='WAUKF78E18A879883', carCompany='Subaru', carModel='Forester', carModelYear='2010', carPrice=93179.89}, location=Location{country='Germany', city='Hanau'}, date=2020-02-08}
Purchase{id=582, person=Person{firstName='Padraig', lastName='Porritt', email='pporrittg5@livejournal.com', ipAddress='238.12.135.122'}, car=Car{color='#0e06db', carVin='3VWKX7AJ8AM222365', carCompany='Subaru', carModel='Justy', carModelYear='1988', carPrice=38207.69}, location=Location{country='Czech Republic', city='Sokolnice'}, date=2020-03-12}
Purchase{id=670, person=Person{firstName='Edeline', lastName='Burkill', email='eburkillil@wufoo.com', ipAddress='98.180.20.157'}, car=Car{color='#09d32a', carVin='JH4DC53863S360131', carCompany='Subaru', carModel='Legacy', carModelYear='2012', carPrice=25586.33}, location=Location{country='Czech Republic', city='Starý Bohumín'}, date=2020-01-22}
Purchase{id=726, person=Person{firstName='Malory', lastName='McHaffy', email='mmchaffyk5@google.com.br', ipAddress='107.82.158.90'}, car=Car{color='#d6c40f', carVin='1D4PT6GX9AW071839', carCompany='Subaru', carModel='Forester', carModelYear='1999', carPrice=78481.71}, location=Location{country='Poland', city='Zabłocie'}, date=2020-07-27}
Purchase{id=905, person=Person{firstName='Guido', lastName='Meneyer', email='gmeneyerp4@ucsd.edu', ipAddress='31.211.100.115'}, car=Car{color='#a8898f', carVin='1G6DP5E39C0203022', carCompany='Subaru', carModel='Outback', carModelYear='2009', carPrice=72940.96}, location=Location{country='Czech Republic', city='Valdice'}, date=2020-07-08}
