Purchase{id=16, person=Person{firstName='Wolf', lastName='Couroy', email='wcouroyf@dot.gov', ipAddress='204.180.151.24'}, car=Car{color='#87b060', carVin='WBAAZ33415K216099', carCompany='Toyota', carModel='T100 Xtra', carModelYear='1995', carPrice=83465.10}, location=Location{country='Poland', city='Smolec'}, date=2020-05-27}
Purchase{id=23, person=Person{firstName='Standford', lastName='McBayne', email='smcbaynem@topsy.com', ipAddress='219.138.159.166'}, car=Car{color='#5d3d15', carVin='2D4RN7DG9BR523778', carCompany='Toyota', carModel='4Runner', carModelYear='1997', carPrice=44024.02}, location=Location{country='Czech Republic', city='Chyňava'}, date=2020-10-20}
Purchase{id=64, person=Person{firstName='Roseline', lastName='Francescuccio', email='rfrancescuccio1r@economist.com', ipAddress='252.22.214.206'}, car=Car{color='#fe13d7', carVin='SCBCR73W99C041320', carCompany='Toyota', carModel='T100', carModelYear='1996', carPrice=56891.24}, location=Location{country='Poland', city='Ręczno'}, date=2020-02-29}
Purchase{id=93, person=Person{firstName='Jake', lastName='Wedge', email='jwedge2k@studiopress.com', ipAddress='143.113.58.136'}, car=Car{color='#a49a39', carVin='19UUB3F71FA807150', carCompany='Toyota', carModel='Camry', carModelYear='2010', carPrice=70473.21}, location=Location{country='Czech Republic', city='Zvole'}, date=2020-09-08}
Purchase{id=103, person=Person{firstName='Nathaniel', lastName='Bunney', email='nbunney2u@qq.com', ipAddress='183.181.78.22'}, car=Car{color='#5e30cf', carVin='WBANB33575B546408', carCompany='Toyota', carModel='Sequoia', carModelYear='2012', carPrice=2401.63}, location=Location{country='Poland', city='Polanka Wielka'}, date=2020-02-26}
Purchase{id=105, person=Person{firstName='Sadie', lastName='Lineham', email='slineham2w@nasa.gov', ipAddress='33.94.149.8'}, car=Car{color='#bdf7a6', carVin='WAUVFAFR5CA695605', carCompany='Toyota', carModel='Previa', carModelYear='1997', carPrice=75874.85}, location=Location{country='Czech Republic', city='Nové Město pod Smrkem'}, date=2020-05-24}
Purchase{id=118, person=Person{firstName='Terry', lastName='Necolds', email='tnecolds39@bandcamp.com', ipAddress='127.79.6.232'}, car=Car{color='#06894a', carVin='1FTMF1CW5AK981046', carCompany='Toyota', carModel='Avalon', carModelYear='1998', carPrice=70333.33}, location=Location{country='Czech Republic', city='Železný Brod'}, date=2020-12-01}
Purchase{id=135, person=Person{firstName='Austine', lastName='Owttrim', email='aowttrim3q@canalblog.com', ipAddress='159.241.46.182'}, car=Car{color='#12ab72', carVin='3D7TT2CT0AG015316', carCompany='Toyota', carModel='Highlander', carModelYear='2004', carPrice=80403.95}, location=Location{country='Germany', city='Leipzig'}, date=2020-11-27}
Purchase{id=179, person=Person{firstName='Rose', lastName='Garfitt', email='rgarfitt4y@histats.com', ipAddress='124.148.182.118'}, car=Car{color='#143528', carVin='JN8AE2KP3B9529747', carCompany='Toyota', carModel='Tercel', carModelYear='1993', carPrice=16793.13}, location=Location{country='Germany', city='Hamburg'}, date=2020-11-12}
Purchase{id=180, person=Person{firstName='Janet', lastName='Gourley', email='jgourley4z@sourceforge.net', ipAddress='190.51.206.173'}, car=Car{color='#aac26c', carVin='3C3CFFJH9ET358618', carCompany='Toyota', carModel='Tundra', carModelYear='2005', carPrice=55141.00}, location=Location{country='Czech Republic', city='Zaječí'}, date=2020-12-06}
Purchase{id=181, person=Person{firstName='Cody', lastName='De Lacey', email='cdelacey50@state.gov', ipAddress='99.214.16.225'}, car=Car{color='#a62cc9', carVin='JA4AP3AU6BZ179950', carCompany='Toyota', carModel='4Runner', carModelYear='1994', carPrice=79398.95}, location=Location{country='Czech Republic', city='Šluknov'}, date=2020-01-20}
