Purchase{id=3, person=Person{firstName='Kettie', lastName='Molesworth', email='kmolesworth2@amazon.co.jp', ipAddress='112.14.244.143'}, car=Car{color='#e253f4', carVin='1G6DN56S250035433', carCompany='Volkswagen', carModel='GTI', carModelYear='2005', carPrice=24576.75}, location=Location{country='Poland', city='Koronowo'}, date=2020-02-13}
Purchase{id=20, person=Person{firstName='Rosalie', lastName='Scarlin', email='rscarlinj@slate.com', ipAddress='231.170.1.216'}, car=Car{color='#b5096c', carVin='WAUKH78E88A568848', carCompany='Volkswagen', carModel='Passat', carModelYear='1994', carPrice=63972.26}, location=Location{country='Czech Republic', city='Ústí nad Orlicí'}, date=2020-08-22}
Purchase{id=36, person=Person{firstName='Marion', lastName='Normand', email='mnormandz@aboutads.info', ipAddress='204.52.31.30'}, car=Car{color='#9f41db', carVin='WBA3B5C56EF695887', carCompany='Volkswagen', carModel='New Beetle', carModelYear='2012', carPrice=57040.11}, location=Location{country='Czech Republic', city='Lukavec'}, date=2020-12-24}
Purchase{id=109, person=Person{firstName='Clarie', lastName='Tue', email='ctue30@adobe.com', ipAddress='2.97.86.205'}, car=Car{color='#3108d6', carVin='JH4KC1F53EC957753', carCompany='Volkswagen', carModel='Touareg', carModelYear='2003', carPrice=22049.47}, location=Location{country='Poland', city='Miłakowo'}, date=2020-09-01}
Purchase{id=121, person=Person{firstName='Cathe', lastName='Brandt', email='cbrandt3c@amazon.co.jp', ipAddress='22.2.143.223'}, car=Car{color='#927925', carVin='2HKRM3H54FH617510', carCompany='Volkswagen', carModel='Quantum', carModelYear='1984', carPrice=87150.11}, location=Location{country='Czech Republic', city='Dolní Bojanovice'}, date=2020-12-26}
Purchase{id=123, person=Person{firstName='Ulrich', lastName='Houlison', email='uhoulison3e@eventbrite.com', ipAddress='53.246.43.61'}, car=Car{color='#fc0218', carVin='WBAAZ33443K005444', carCompany='Volkswagen', carModel='Golf', carModelYear='2006', carPrice=59642.25}, location=Location{country='Poland', city='Warsaw'}, date=2020-11-24}
Purchase{id=183, person=Person{firstName='Mattias', lastName='Catonne', email='mcatonne52@bbb.org', ipAddress='15.178.238.246'}, car=Car{color='#71ca3c', carVin='5GAKRCED6CJ305031', carCompany='Volkswagen', carModel='Jetta', carModelYear='2004', carPrice=54480.68}, location=Location{country='Poland', city='Wojaszówka'}, date=2020-10-13}
Purchase{id=193, person=Person{firstName='Angelico', lastName='de Lloyd', email='adelloyd5c@nih.gov', ipAddress='142.18.170.95'}, car=Car{color='#e444ff', carVin='3VW4A7ATXDM693515', carCompany='Volkswagen', carModel='Jetta', carModelYear='2001', carPrice=66267.35}, location=Location{country='Poland', city='Laliki'}, date=2020-05-02}
Purchase{id=253, person=Person{firstName='Broddie', lastName='Guage', email='bguage70@i2i.jp', ipAddress='117.199.244.47'}, car=Car{color='#c4d7ec', carVin='WA1VFAFL5EA085912', carCompany='Volkswagen', carModel='GLI', carModelYear='2009', carPrice=82687.12}, location=Location{country='Poland', city='Olsztyn'}, date=2020-07-14}
Purchase{id=285, person=Person{firstName='Sabina', lastName='Hruska', email='shruska7w@google.nl', ipAddress='46.213.208.212'}, car=Car{color='#24261e', carVin='WP1AE2A27DL938806', carCompany='Volkswagen', carModel='rio', carModelYear='2002', carPrice=21014.18}, location=Location{country='Poland', city='Piasek'}, date=2020-05-18}
Purchase{id=301, person=Person{firstName='Ashlen', lastName='Iorio', email='aiorio8c@discuz.net', ipAddress='247.8.11.67'}, car=Car{color='#d05f25', carVin='JH4KB2F60CC295032', carCompany='Volkswagen', carModel='Fox', carModelYear='1988', carPrice=77660.74}, location=Location{country='Poland', city='Sypniewo'}, date=2020-08-15}
Purchase{id=303, person=Person{firstName='Kassey', lastName='Piesing', email='kpiesing8e@goo.ne.jp', ipAddress='204.53.128.219'}, car=Car{color='#f617b4', carVin='2T1KE4EE1BC266562', carCompany='Volkswagen', carModel='Rabbit', carModelYear='2009', carPrice=46767.85}, location=Location{country='Poland', city='Piotrków Trybunalski'}, date=2020-08-24}
Purchase{id=309, person=Person{firstName='Corrinne', lastName='Brownjohn', email='cbrownjohn8k@auda.org.au', ipAddress='157.246.6.67'}, car=Car{color='#52ecdd', carVin='WUAPV64B33N880152', carCompany='Volkswagen', carModel='Jetta', carModelYear='1998', carPrice=47131.71}, location=Location{country='Poland', city='Skalbmierz'}, date=2020-05-19}
Purchase{id=361, person=Person{firstName='Petronella', lastName='Sinkin', email='psinkina0@microsoft.com', ipAddress='102.86.23.4'}, car=Car{color='#4072ed', carVin='19UUA9E56EA888425', carCompany='Volkswagen', carModel='Cabriolet', carModelYear='2001', carPrice=7012.09}, location=Location{country='Germany', city='Dillenburg'}, date=2020-05-08}
Purchase{id=376, person=Person{firstName='Dotti', lastName='Acum', email='dacumaf@gizmodo.com', ipAddress='22.71.156.242'}, car=Car{color='#797c95', carVin='WBASN4C57CC948890', carCompany='Volkswagen', carModel='Golf', carModelYear='1984', carPrice=22554.05}, location=Location{country='Czech Republic', city='Litvínov'}, date=2020-02-22}
Purchase{id=381, person=Person{firstName='Ruttger', lastName='Le Marchand', email='rlemarchandak@angelfire.com', ipAddress='195.209.220.84'}, car=Car{color='#b304ec', carVin='WBAEV33433K477549', carCompany='Volkswagen', carModel='GTI', carModelYear='1999', carPrice=64321.40}, location=Location{country='Poland', city='Siedleczka'}, date=2020-12-04}
Purchase{id=460, person=Person{firstName='Ekaterina', lastName='Duncanson', email='eduncansoncr@hatena.ne.jp', ipAddress='124.204.151.192'}, car=Car{color='#c1f4fe', carVin='1G6YV36A365641423', carCompany='Volkswagen', carModel='Golf', carModelYear='1976', carPrice=90475.62}, location=Location{country='Czech Republic', city='Zaječí'}, date=2020-05-24}
Purchase{id=465, person=Person{firstName='Constancy', lastName='Marsden', email='cmarsdencw@opensource.org', ipAddress='180.34.221.242'}, car=Car{color='#5ed2c0', carVin='5UXFG8C50CL509566', carCompany='Volkswagen', carModel='GTI', carModelYear='1996', carPrice=635.01}, location=Location{country='Czech Republic', city='Klatovy'}, date=2020-11-27}
Purchase{id=554, person=Person{firstName='Cosme', lastName='Boutellier', email='cboutellierfd@google.cn', ipAddress='104.31.181.213'}, car=Car{color='#b40105', carVin='SALFR2BGXFH274153', carCompany='Volkswagen', carModel='Jetta', carModelYear='1984', carPrice=92236.98}, location=Location{country='Poland', city='Besko'}, date=2020-11-23}
Purchase{id=581, person=Person{firstName='Mackenzie', lastName='McLennan', email='mmclennang4@boston.com', ipAddress='251.49.137.21'}, car=Car{color='#12355c', carVin='5GAKRBED5CJ399638', carCompany='Volkswagen', carModel='Cabriolet', carModelYear='1987', carPrice=48813.62}, location=Location{country='Poland', city='Osięciny'}, date=2020-02-09}
Purchase{id=612, person=Person{firstName='Nolly', lastName='Tumioto', email='ntumiotogz@ucsd.edu', ipAddress='38.38.75.193'}, car=Car{color='#a7c9f9', carVin='WAUVKAFR2AA363940', carCompany='Volkswagen', carModel='New Beetle', carModelYear='2008', carPrice=6531.54}, location=Location{country='Poland', city='Maszkienice'}, date=2020-12-26}
Purchase{id=639, person=Person{firstName='Padgett', lastName='Temlett', email='ptemletthq@diigo.com', ipAddress='48.51.33.61'}, car=Car{color='#e66818', carVin='3VW1K7AJ3CM656898', carCompany='Volkswagen', carModel='Type 2', carModelYear='1986', carPrice=42551.68}, location=Location{country='Czech Republic', city='Jedlová'}, date=2020-10-25}
Purchase{id=643, person=Person{firstName='Vivie', lastName='Willingam', email='vwillingamhu@tamu.edu', ipAddress='10.7.147.240'}, car=Car{color='#4d02f5', carVin='5J8TB18277A721022', carCompany='Volkswagen', carModel='Jetta', carModelYear='2007', carPrice=58107.37}, location=Location{country='Poland', city='Wola Jachowa'}, date=2020-08-15}
Purchase{id=653, person=Person{firstName='Philis', lastName='Yellowley', email='pyellowleyi4@ebay.com', ipAddress='164.169.12.40'}, car=Car{color='#57fcb4', carVin='JN8AZ1MU9EW465625', carCompany='Volkswagen', carModel='Cabriolet', carModelYear='1999', carPrice=17846.37}, location=Location{country='Poland', city='Polkowice'}, date=2020-06-09}
Purchase{id=676, person=Person{firstName='Reta', lastName='Wickham', email='rwickhamir@intel.com', ipAddress='218.99.137.199'}, car=Car{color='#6fa932', carVin='5GAKVDED1CJ543533', carCompany='Volkswagen', carModel='Tiguan', carModelYear='2012', carPrice=15415.59}, location=Location{country='Czech Republic', city='Horní Počaply'}, date=2020-02-24}
Purchase{id=732, person=Person{firstName='Nickolai', lastName='Shegog', email='nshegogkb@cnn.com', ipAddress='161.26.212.24'}, car=Car{color='#0f5cf8', carVin='WAUBF78KX9N921807', carCompany='Volkswagen', carModel='Golf', carModelYear='1992', carPrice=18020.98}, location=Location{country='Czech Republic', city='Ludgeřovice'}, date=2020-08-02}
Purchase{id=741, person=Person{firstName='Cort', lastName='O'Fihily', email='cofihilykk@dyndns.org', ipAddress='107.31.125.185'}, car=Car{color='#28ba1e', carVin='WBAVB73597F366589', carCompany='Volkswagen', carModel='Passat', carModelYear='2008', carPrice=39395.61}, location=Location{country='Poland', city='Kamionka'}, date=2020-10-27}
Purchase{id=752, person=Person{firstName='Stephen', lastName='Seilmann', email='sseilmannkv@cbsnews.com', ipAddress='175.97.228.116'}, car=Car{color='#37a5b2', carVin='JH4KB26519C752916', carCompany='Volkswagen', carModel='Phaeton', carModelYear='2005', carPrice=12833.78}, location=Location{country='Poland', city='Kluki'}, date=2020-06-06}
Purchase{id=762, person=Person{firstName='Ermin', lastName='Redmond', email='eredmondl5@npr.org', ipAddress='6.224.67.159'}, car=Car{color='#4b64d5', carVin='W04GV5EV3B1730803', carCompany='Volkswagen', carModel='Golf', carModelYear='1976', carPrice=55014.97}, location=Location{country='Poland', city='Działdowo'}, date=2020-08-08}
Purchase{id=795, person=Person{firstName='Lexine', lastName='Rubinsztein', email='lrubinszteinm2@chronoengine.com', ipAddress='49.234.14.109'}, car=Car{color='#fdc979', carVin='4JGBB2FB8AA453054', carCompany='Volkswagen', carModel='Cabriolet', carModelYear='1992', carPrice=11057.77}, location=Location{country='Poland', city='Granica'}, date=2020-06-04}
Purchase{id=865, person=Person{firstName='Imogene', lastName='D'Alessio', email='idalessioo0@businesswire.com', ipAddress='23.22.16.96'}, car=Car{color='#20ddd0', carVin='WAUKGBFB0BN490841', carCompany='Volkswagen', carModel='GTI', carModelYear='1996', carPrice=67426.94}, location=Location{country='Germany', city='Köln'}, date=2020-10-14}
Purchase{id=876, person=Person{firstName='Sisile', lastName='Shapera', email='sshaperaob@bloglovin.com', ipAddress='27.197.243.235'}, car=Car{color='#563c4c', carVin='2LMDJ6JC5AB563233', carCompany='Volkswagen', carModel='rio', carModelYear='1996', carPrice=37873.94}, location=Location{country='Poland', city='Pogwizdów'}, date=2020-08-24}
