Purchase{id=62, person=Person{firstName='Dorey', lastName='Ayce', email='dayce1p@oakley.com', ipAddress='237.66.116.77'}, car=Car{color='#99b43e', carVin='1N4AB7AP3DN745763', carCompany='Volvo', carModel='XC90', carModelYear='2003', carPrice=45536.60}, location=Location{country='Czech Republic', city='Jaroměř'}, date=2020-02-01}
Purchase{id=81, person=Person{firstName='Marietta', lastName='Matusovsky', email='mmatusovsky28@wp.com', ipAddress='227.57.182.131'}, car=Car{color='#5e5ac3', carVin='1G6AK5SX1E0004400', carCompany='Volvo', carModel='V50', carModelYear='2006', carPrice=95214.12}, location=Location{country='Poland', city='Lubień Kujawski'}, date=2020-10-13}
Purchase{id=104, person=Person{firstName='Hillel', lastName='Gulberg', email='hgulberg2v@uol.com.br', ipAddress='245.28.146.164'}, car=Car{color='#be8d7c', carVin='WAUSH98E77A370532', carCompany='Volvo', carModel='C30', carModelYear='2012', carPrice=48525.09}, location=Location{country='Poland', city='Sosnowiec'}, date=2020-09-29}
Purchase{id=115, person=Person{firstName='Esta', lastName='Knowlman', email='eknowlman36@webnode.com', ipAddress='162.212.125.85'}, car=Car{color='#4b8723', carVin='WDDHF2EB1DA707847', carCompany='Volvo', carModel='S40', carModelYear='2010', carPrice=1686.18}, location=Location{country='Czech Republic', city='Nová Paka'}, date=2020-05-03}
Purchase{id=127, person=Person{firstName='Rhody', lastName='Silson', email='rsilson3i@woothemes.com', ipAddress='150.7.140.200'}, car=Car{color='#e2f736', carVin='1G4GG5G32CF381077', carCompany='Volvo', carModel='S80', carModelYear='2000', carPrice=65303.70}, location=Location{country='Germany', city='Köln'}, date=2020-08-10}
Purchase{id=131, person=Person{firstName='Caritta', lastName='Penright', email='cpenright3m@intel.com', ipAddress='157.148.217.153'}, car=Car{color='#a07f32', carVin='WDDHH8JBXFB613580', carCompany='Volvo', carModel='V70', carModelYear='2009', carPrice=61642.73}, location=Location{country='Poland', city='Milanówek'}, date=2020-09-23}
Purchase{id=174, person=Person{firstName='Jay', lastName='Diloway', email='jdiloway4t@bluehost.com', ipAddress='112.171.188.5'}, car=Car{color='#74e5c9', carVin='2FMGK5BC0BB796935', carCompany='Volvo', carModel='XC70', carModelYear='2007', carPrice=39565.71}, location=Location{country='Poland', city='Szelków'}, date=2020-11-21}
Purchase{id=240, person=Person{firstName='Cletis', lastName='Swiers', email='cswiers6n@msu.edu', ipAddress='177.142.211.247'}, car=Car{color='#b203c6', carVin='5NPEB4AC1BH572085', carCompany='Volvo', carModel='S80', carModelYear='2000', carPrice=97566.15}, location=Location{country='Poland', city='Pruchnik'}, date=2020-12-12}
Purchase{id=350, person=Person{firstName='Granny', lastName='Vanns', email='gvanns9p@wikimedia.org', ipAddress='206.67.4.114'}, car=Car{color='#eed324', carVin='3VW4T7AT6EM080674', carCompany='Volvo', carModel='XC90', carModelYear='2013', carPrice=52450.55}, location=Location{country='Poland', city='Puńsk'}, date=2020-06-01}
Purchase{id=447, person=Person{firstName='Pippy', lastName='Lawry', email='plawryce@yahoo.com', ipAddress='135.97.103.59'}, car=Car{color='#7a41d8', carVin='3GYT4NEFXBG214899', carCompany='Volvo', carModel='850', carModelYear='1996', carPrice=18007.71}, location=Location{country='Czech Republic', city='Dobratice'}, date=2020-01-09}
Purchase{id=455, person=Person{firstName='Jannel', lastName='Sircombe', email='jsircombecm@fastcompany.com', ipAddress='174.0.164.184'}, car=Car{color='#a69c05', carVin='3VWPG3AG1AM831140', carCompany='Volvo', carModel='XC70', carModelYear='2008', carPrice=84822.49}, location=Location{country='Czech Republic', city='Zbýšov'}, date=2020-07-30}
Purchase{id=463, person=Person{firstName='Sarge', lastName='Dewi', email='sdewicu@xinhuanet.com', ipAddress='233.164.255.106'}, car=Car{color='#c79ee1', carVin='WBAYE8C54DD504377', carCompany='Volvo', carModel='C70', carModelYear='2004', carPrice=28721.16}, location=Location{country='Poland', city='Jastrowie'}, date=2020-01-29}
Purchase{id=698, person=Person{firstName='Verla', lastName='Wadlow', email='vwadlowjd@blogtalkradio.com', ipAddress='244.255.54.18'}, car=Car{color='#1af3da', carVin='WUATNAFG6CN215918', carCompany='Volvo', carModel='XC90', carModelYear='2004', carPrice=88051.88}, location=Location{country='Czech Republic', city='Hostomice'}, date=2020-04-19}
Purchase{id=707, person=Person{firstName='Darbee', lastName='Tillett', email='dtillettjm@infoseek.co.jp', ipAddress='228.226.88.199'}, car=Car{color='#d322d0', carVin='19UUA56633A159019', carCompany='Volvo', carModel='S60', carModelYear='2011', carPrice=3041.86}, location=Location{country='Czech Republic', city='Zábřeh'}, date=2020-11-09}
Purchase{id=803, person=Person{firstName='Lothaire', lastName='Capron', email='lcapronma@independent.co.uk', ipAddress='7.85.231.234'}, car=Car{color='#4626e4', carVin='1FT7W2A6XEE524128', carCompany='Volvo', carModel='V70', carModelYear='2006', carPrice=20525.58}, location=Location{country='Poland', city='Jabłoń'}, date=2020-10-29}
